,case,name,d0,n0,repetition,nll_source,steps_fsp,fsp_source,seqlength,cwlen,iwlen,rankmax,ranknum,d1,n1,nll_learned,fsp_learned,kl_divergence,mse,nll_gmm,l2_gmm
0,blended_known,S_3,10,3,1,2.2964856953630375,5,"[2.28934133e-31 7.55964710e-28 4.24177956e-26 ... 3.28600317e-15
 8.40785712e-16 8.81009758e-17]",1000,3,3,27,1,2,3,2.405066169369148,"[1.32628149e-30 4.39027523e-27 2.46325163e-25 ... 3.59136564e-14
 9.18927684e-15 9.62890122e-16]",0.2861494950951412,0.00026536410408810855,,
1,blended_known,S_3,10,3,1,2.2964856953630375,5,"[2.28934133e-31 7.55964710e-28 4.24177956e-26 ... 3.28600317e-15
 8.40785712e-16 8.81009758e-17]",1000,3,3,27,1,3,3,4.319992909457618,"[1.24731132e-32 3.49945315e-29 1.97321404e-27 ... 2.79026878e-14
 7.13949016e-15 7.48105065e-16]",1.5682014174820789,0.0002221937552219058,,
2,blended_known,S_3,10,3,1,2.2964856953630375,5,"[2.28934133e-31 7.55964710e-28 4.24177956e-26 ... 3.28600317e-15
 8.40785712e-16 8.81009758e-17]",1000,3,3,27,1,4,3,3.5318223068098504,"[8.32420319e-31 2.75397079e-27 1.54520309e-25 ... 3.79231336e-14
 9.70344890e-15 1.01676718e-15]",0.23163165285638257,0.00018065702292416206,,
3,blended_known,S_3,10,3,1,2.2964856953630375,5,"[2.28934133e-31 7.55964710e-28 4.24177956e-26 ... 3.28600317e-15
 8.40785712e-16 8.81009758e-17]",1000,3,3,27,1,5,3,3.575908949919531,"[7.79192966e-31 2.57820575e-27 1.44657929e-25 ... 4.50050281e-14
 1.15155005e-14 1.20664138e-15]",0.20528367065313433,0.00016094106481177094,,
4,blended_known,S_3,10,3,1,2.2964856953630375,5,"[2.28934133e-31 7.55964710e-28 4.24177956e-26 ... 3.28600317e-15
 8.40785712e-16 8.81009758e-17]",1000,3,3,27,1,6,3,3.614919352170274,"[8.94538805e-31 2.96017147e-27 1.66088531e-25 ... 5.26992304e-14
 1.34842146e-14 1.41293132e-15]",0.24414547426305594,0.0001733367685791524,,
5,blended_known,S_3,10,3,1,2.2964856953630375,5,"[2.28934133e-31 7.55964710e-28 4.24177956e-26 ... 3.28600317e-15
 8.40785712e-16 8.81009758e-17]",1000,3,3,27,1,7,3,3.8481506760814637,"[9.50288394e-31 3.14431001e-27 1.76421035e-25 ... 4.53867348e-14
 1.16130668e-14 1.21686477e-15]",2.931359072323986,0.0003496660243198219,,
6,blended_known,S_3,10,3,1,2.2964856953630375,5,"[2.28934133e-31 7.55964710e-28 4.24177956e-26 ... 3.28600317e-15
 8.40785712e-16 8.81009758e-17]",1000,3,3,27,1,8,3,4.555613028496843,"[1.92918199e-31 6.41999760e-28 3.60155590e-26 ... 7.88372404e-22
 7.88372404e-22 7.88372404e-22]",20.901308989223054,0.0008872421731165719,,
7,blended_known,S_3,10,3,1,2.2964856953630375,5,"[2.28934133e-31 7.55964710e-28 4.24177956e-26 ... 3.28600317e-15
 8.40785712e-16 8.81009758e-17]",1000,3,3,27,1,9,3,3.9736726563668645,"[1.31985605e-30 4.37072442e-27 2.45222574e-25 ... 2.24847579e-14
 5.75287964e-15 6.02810327e-16]",11.252358383645786,0.0006510877878933007,,
8,blended_known,S_3,10,3,1,2.2964856953630375,5,"[2.28934133e-31 7.55964710e-28 4.24177956e-26 ... 3.28600317e-15
 8.40785712e-16 8.81009758e-17]",1000,3,3,27,1,10,3,4.060405503693591,"[2.30795423e-31 7.63941378e-28 4.28578747e-26 ... 4.91746839e-14
 1.25816025e-14 1.31835192e-15]",17.560855699103175,0.0013811416966612096,,
9,blended_known,S_3,10,3,1,2.2964856953630375,5,"[2.28934133e-31 7.55964710e-28 4.24177956e-26 ... 3.28600317e-15
 8.40785712e-16 8.81009758e-17]",1000,3,3,27,1,11,3,3.8317954974943276,"[1.84546804e-21 1.84546804e-21 1.84546804e-21 ... 2.82730672e-15
 7.23419162e-16 7.58028273e-17]",18.40042075836452,0.001084985410898081,,
10,blended_known,S_3,10,3,1,2.2964856953630375,5,"[2.28934133e-31 7.55964710e-28 4.24177956e-26 ... 3.28600317e-15
 8.40785712e-16 8.81009758e-17]",1000,3,3,27,1,12,3,3.865925755379436,"[3.76142204e-31 1.24610905e-27 6.99137061e-26 ... 2.82041825e-13
 7.21667026e-14 7.56192313e-15]",2.931239123616488,0.00020893136220001386,,
11,blended_known,S_3,10,3,1,2.2964856953630375,5,"[2.28934133e-31 7.55964710e-28 4.24177956e-26 ... 3.28600317e-15
 8.40785712e-16 8.81009758e-17]",1000,3,3,27,1,13,3,3.9207878780492407,"[3.61168695e-31 1.19381476e-27 6.69841073e-26 ... 4.81224153e-14
 1.23131622e-14 1.29022364e-15]",0.0968313989826976,5.89609883937475e-05,,
12,blended_known,S_3,10,3,1,2.2964856953630375,5,"[2.28934133e-31 7.55964710e-28 4.24177956e-26 ... 3.28600317e-15
 8.40785712e-16 8.81009758e-17]",1000,3,3,27,1,14,3,5.097163528233327,"[2.59444260e-30 8.63235499e-27 4.84252772e-25 ... 4.31152370e-22
 4.31152370e-22 4.31152370e-22]",20.288879913400997,0.0010360948129133757,,
13,blended_gmm,S_3,10,3,1,2.2964856953630375,5,"[2.28934133e-31 7.55964710e-28 4.24177956e-26 ... 3.28600317e-15
 8.40785712e-16 8.81009758e-17]",1000,2,2,16,1,2,4,2.6737410234694923,"[1.77722426e-40 1.21534344e-35 2.85110016e-33 ... 7.80395410e-14
 1.56470141e-14 9.30278867e-16]",0.7636082636023959,0.0003847596631004703,1.7279028365839577,0.0018513926928722668
14,blended_gmm,S_3,10,3,1,2.2964856953630375,5,"[2.28934133e-31 7.55964710e-28 4.24177956e-26 ... 3.28600317e-15
 8.40785712e-16 8.81009758e-17]",1000,2,2,16,1,3,4,2.4983894525805845,"[9.53441329e-41 6.51137473e-36 1.52675441e-33 ... 1.72297861e-14
 3.45458688e-15 2.05389293e-16]",0.4649259241376071,0.00020569490282623047,1.7279028365839577,0.0018513926928722668
15,blended_gmm,S_3,10,3,1,2.2964856953630375,5,"[2.28934133e-31 7.55964710e-28 4.24177956e-26 ... 3.28600317e-15
 8.40785712e-16 8.81009758e-17]",1000,2,2,16,1,4,4,3.254696350344014,"[1.32022715e-40 9.50571344e-36 2.28651823e-33 ... 1.35885388e-14
 2.72462240e-15 1.61989926e-16]",4.139466451161992,0.0006613697050994682,1.7279028365839577,0.0018513926928722668
16,blended_gmm,S_3,10,3,1,2.2964856953630375,5,"[2.28934133e-31 7.55964710e-28 4.24177956e-26 ... 3.28600317e-15
 8.40785712e-16 8.81009758e-17]",1000,2,2,16,1,5,4,3.003256324926194,"[1.93657015e-40 1.24786485e-35 2.83648110e-33 ... 9.32422928e-15
 1.86957957e-15 1.11154139e-16]",2.2386599775001335,0.00043731707518524844,1.7279028365839577,0.0018513926928722668
17,blended_gmm,S_3,10,3,1,2.2964856953630375,5,"[2.28934133e-31 7.55964710e-28 4.24177956e-26 ... 3.28600317e-15
 8.40785712e-16 8.81009758e-17]",1000,2,2,16,1,6,4,5.433847031917467,"[5.45823571e-42 1.04567995e-25 1.04567995e-25 ... 1.04567995e-25
 1.04567995e-25 1.04567995e-25]",24.806073387543364,0.001699252471087061,1.7279028365839577,0.0018513926928722668
18,blended_gmm,S_3,10,3,1,2.2964856953630375,5,"[2.28934133e-31 7.55964710e-28 4.24177956e-26 ... 3.28600317e-15
 8.40785712e-16 8.81009758e-17]",1000,2,2,16,1,7,4,4.847255153523105,"[4.92703578e-24 1.58139838e-36 6.13193435e-34 ... 1.05727582e-13
 2.11989221e-14 1.26036246e-15]",22.036255229051907,0.0007078987572330138,1.7279028365839577,0.0018513926928722668
19,blended_gmm,S_3,10,3,1,2.2964856953630375,5,"[2.28934133e-31 7.55964710e-28 4.24177956e-26 ... 3.28600317e-15
 8.40785712e-16 8.81009758e-17]",1000,2,2,16,1,8,4,5.400806410166163,"[2.00329196e-21 2.00329196e-21 2.00329196e-21 ... 2.00329196e-21
 2.00329196e-21 2.00329196e-21]",17.342571874499335,0.0014184110750187053,1.7279028365839577,0.0018513926928722668
20,blended_gmm,S_3,10,3,1,2.2964856953630375,5,"[2.28934133e-31 7.55964710e-28 4.24177956e-26 ... 3.28600317e-15
 8.40785712e-16 8.81009758e-17]",1000,2,2,16,1,9,4,4.476672161926102,"[2.65395467e-40 1.82541856e-35 4.29379077e-33 ... 5.50841380e-15
 1.10447501e-15 6.56655488e-17]",22.683624021947104,0.0012591851949134317,1.7279028365839577,0.0018513926928722668
21,blended_gmm,S_3,10,3,1,2.2964856953630375,5,"[2.28934133e-31 7.55964710e-28 4.24177956e-26 ... 3.28600317e-15
 8.40785712e-16 8.81009758e-17]",1000,2,2,16,1,10,4,5.56567984628715,"[2.60111701e-41 2.72290798e-36 7.51100664e-34 ... 1.36820002e-17
 2.71145678e-18 1.61206895e-19]",22.325079011175383,0.002168507470626321,1.7279028365839577,0.0018513926928722668
22,blended_gmm,S_3,10,3,1,2.2964856953630375,5,"[2.28934133e-31 7.55964710e-28 4.24177956e-26 ... 3.28600317e-15
 8.40785712e-16 8.81009758e-17]",1000,2,2,16,1,11,4,5.096571458490991,"[9.35434194e-42 1.33544361e-23 1.33544361e-23 ... 1.33544361e-23
 1.33544361e-23 1.33544361e-23]",22.153139524314813,0.0014404311557900443,1.7279028365839577,0.0018513926928722668
23,blended_gmm,S_3,10,3,1,2.2964856953630375,5,"[2.28934133e-31 7.55964710e-28 4.24177956e-26 ... 3.28600317e-15
 8.40785712e-16 8.81009758e-17]",1000,2,2,16,1,12,4,4.379552639724308,"[1.70625581e-41 2.92922500e-36 8.96252611e-34 ... 1.68282015e-14
 3.37420193e-15 2.00610081e-16]",20.313590568815272,0.0012138539554259217,1.7279028365839577,0.0018513926928722668
24,blended_gmm,S_3,10,3,1,2.2964856953630375,5,"[2.28934133e-31 7.55964710e-28 4.24177956e-26 ... 3.28600317e-15
 8.40785712e-16 8.81009758e-17]",1000,2,2,16,1,13,4,5.206415483580937,"[6.08082107e-41 9.01823722e-37 6.83859461e-23 ... 6.83859461e-23
 6.83859461e-23 6.83859461e-23]",24.326542371724123,0.002018284522278668,1.7279028365839577,0.0018513926928722668
25,blended_gmm,S_3,10,3,1,2.2964856953630375,5,"[2.28934133e-31 7.55964710e-28 4.24177956e-26 ... 3.28600317e-15
 8.40785712e-16 8.81009758e-17]",1000,2,2,16,1,14,4,5.2646651380206135,"[3.61993170e-41 7.64389277e-23 7.64389277e-23 ... 7.64389277e-23
 7.64389277e-23 7.64389277e-23]",24.770098649774052,0.0022588064154486784,1.7279028365839577,0.0018513926928722668
26,blended_known,S_3,10,3,1,2.2964856953630375,5,"[2.28934133e-31 7.55964710e-28 4.24177956e-26 ... 3.28600317e-15
 8.40785712e-16 8.81009758e-17]",3162,3,3,27,1,2,3,2.3996180271963192,"[8.63152938e-31 2.85661118e-27 1.60276885e-25 ... 6.87218749e-14
 1.75839686e-14 1.84252036e-15]",0.2660144994818169,0.00020445528605223326,,
27,blended_known,S_3,10,3,1,2.2964856953630375,5,"[2.28934133e-31 7.55964710e-28 4.24177956e-26 ... 3.28600317e-15
 8.40785712e-16 8.81009758e-17]",3162,3,3,27,1,3,3,2.4732493824580173,"[1.38188212e-30 4.57523946e-27 2.56700622e-25 ... 8.96969227e-14
 2.29508759e-14 2.40488692e-15]",0.408350362834281,0.00034922404002327075,,
28,blended_known,S_3,10,3,1,2.2964856953630375,5,"[2.28934133e-31 7.55964710e-28 4.24177956e-26 ... 3.28600317e-15
 8.40785712e-16 8.81009758e-17]",3162,3,3,27,1,4,3,2.460659610094847,"[1.29612815e-30 4.29105690e-27 2.40756718e-25 ... 8.80461070e-14
 2.25284797e-14 2.36062651e-15]",0.3906393810505526,0.0003265753825904459,,
29,blended_known,S_3,10,3,1,2.2964856953630375,5,"[2.28934133e-31 7.55964710e-28 4.24177956e-26 ... 3.28600317e-15
 8.40785712e-16 8.81009758e-17]",3162,3,3,27,1,5,3,2.4615430926384816,"[1.30556683e-30 4.32230980e-27 2.42510148e-25 ... 8.82417168e-14
 2.25785306e-14 2.36587105e-15]",0.39162543591582455,0.0003284694476105122,,
30,blended_known,S_3,10,3,1,2.2964856953630375,5,"[2.28934133e-31 7.55964710e-28 4.24177956e-26 ... 3.28600317e-15
 8.40785712e-16 8.81009758e-17]",3162,3,3,27,1,6,3,4.488525597072275,"[6.20330240e-31 2.05081941e-27 1.15071973e-25 ... 8.38950180e-14
 2.14668736e-14 2.24938707e-15]",4.819892591557914,0.0004635290823842509,,
31,blended_known,S_3,10,3,1,2.2964856953630375,5,"[2.28934133e-31 7.55964710e-28 4.24177956e-26 ... 3.28600317e-15
 8.40785712e-16 8.81009758e-17]",3162,3,3,27,1,7,3,4.172065114371942,"[1.17502358e-30 3.88667779e-27 2.18074016e-25 ... 1.77721277e-13
 4.54735372e-14 4.76490376e-15]",3.9680097764706015,0.00053013221149726,,
32,blended_known,S_3,10,3,1,2.2964856953630375,5,"[2.28934133e-31 7.55964710e-28 4.24177956e-26 ... 3.28600317e-15
 8.40785712e-16 8.81009758e-17]",3162,3,3,27,1,8,3,4.318918409571789,"[1.80170560e-23 1.80170560e-23 1.80170560e-23 ... 8.41551298e-14
 2.15322034e-14 2.25623260e-15]",21.172878001208982,0.0018116784818999333,,
33,blended_known,S_3,10,3,1,2.2964856953630375,5,"[2.28934133e-31 7.55964710e-28 4.24177956e-26 ... 3.28600317e-15
 8.40785712e-16 8.81009758e-17]",3162,3,3,27,1,9,3,4.258585234534708,"[5.72607214e-23 5.72607214e-23 5.72607214e-23 ... 6.53825178e-14
 1.67289070e-14 1.75292350e-15]",18.645391240623137,0.001919041389062053,,
34,blended_known,S_3,10,3,1,2.2964856953630375,5,"[2.28934133e-31 7.55964710e-28 4.24177956e-26 ... 3.28600317e-15
 8.40785712e-16 8.81009758e-17]",3162,3,3,27,1,10,3,3.5637393542880185,"[1.15635941e-30 3.82732731e-27 2.14746898e-25 ... 1.20673820e-13
 3.08766954e-14 3.23538680e-15]",8.508606885615496,0.0004767166680457387,,
35,blended_known,S_3,10,3,1,2.2964856953630375,5,"[2.28934133e-31 7.55964710e-28 4.24177956e-26 ... 3.28600317e-15
 8.40785712e-16 8.81009758e-17]",3162,3,3,27,1,11,3,4.3069906603073935,"[3.90190544e-30 1.29611099e-26 7.27145940e-25 ... 8.17064540e-13
 2.09063881e-13 2.19065710e-14]",15.431455227078553,0.001200382475760626,,
36,blended_known,S_3,10,3,1,2.2964856953630375,5,"[2.28934133e-31 7.55964710e-28 4.24177956e-26 ... 3.28600317e-15
 8.40785712e-16 8.81009758e-17]",3162,3,3,27,1,12,3,4.168058481879641,"[1.18317386e-21 1.18317386e-21 1.18317386e-21 ... 3.06871238e-13
 7.85202757e-14 8.22767658e-15]",19.150867886171543,0.0005699196842545157,,
