,case,name,d0,n0,repetition,nll_source,steps_fsp,fsp_source,seqlength,cwlen,iwlen,rankmax,d1,n1,nll_learned,fsp_learned,kl_divergence,nll_gmm,l2_gmm
0,blended_known,S_3,10,3,0,2.06594058538206,5,"[6.90398762e-34 3.32544637e-30 3.63108825e-28 ... 1.19331642e-17
 8.46951302e-19 5.89015316e-20]",1000,3,3,12,2,3,5.198316396401904,"[1.34547443e-36 4.55180194e-33 4.94326933e-31 ... 2.84367321e-10
 4.72186421e-11 6.58646348e-12]",2.2960562063153107,,
1,blended_known,S_3,10,3,0,2.06594058538206,5,"[6.90398762e-34 3.32544637e-30 3.63108825e-28 ... 1.19331642e-17
 8.46951302e-19 5.89015316e-20]",1000,3,3,12,3,3,5.466501530169734,"[1.03561338e-36 3.54215532e-33 3.84755698e-31 ... 3.00991196e-10
 5.06543763e-11 7.10097339e-12]",4.3564756372641815,,
2,blended_known,S_3,10,3,0,2.06594058538206,5,"[6.90398762e-34 3.32544637e-30 3.63108825e-28 ... 1.19331642e-17
 8.46951302e-19 5.89015316e-20]",1000,3,3,12,4,3,7.172903875954339,"[1.28817923e-34 5.61160898e-31 6.11910357e-29 ... 1.36026942e-10
 2.34338101e-11 3.31296503e-12]",0.5831176216589811,,
3,blended_known,S_3,10,3,0,2.06594058538206,5,"[6.90398762e-34 3.32544637e-30 3.63108825e-28 ... 1.19331642e-17
 8.46951302e-19 5.89015316e-20]",1000,3,3,12,5,3,7.973821791963816,"[1.53785129e-35 6.01054777e-32 6.54350615e-30 ... 2.17215438e-10
 3.64872686e-11 5.11144019e-12]",1.116006701857702,,
4,blended_known,S_3,10,3,0,2.06594058538206,5,"[6.90398762e-34 3.32544637e-30 3.63108825e-28 ... 1.19331642e-17
 8.46951302e-19 5.89015316e-20]",1000,3,3,12,6,3,8.004513001193782,"[2.00666569e-35 8.28831285e-32 9.03089425e-30 ... 1.96915565e-10
 3.27986149e-11 4.58031609e-12]",1.0220819646264228,,
5,blended_known,S_3,10,3,0,2.06594058538206,5,"[6.90398762e-34 3.32544637e-30 3.63108825e-28 ... 1.19331642e-17
 8.46951302e-19 5.89015316e-20]",1000,3,3,12,7,3,7.437851021154691,"[3.91510713e-35 1.75575186e-31 1.91531036e-29 ... 1.92670927e-10
 3.19255682e-11 4.44975183e-12]",2.777048076885788,,
6,blended_known,S_3,10,3,0,2.06594058538206,5,"[6.90398762e-34 3.32544637e-30 3.63108825e-28 ... 1.19331642e-17
 8.46951302e-19 5.89015316e-20]",1000,3,3,12,8,3,5.893859726086485,"[2.28186821e-24 2.28186821e-24 2.28186821e-24 ... 9.37959461e-11
 1.53150107e-11 2.12271369e-12]",25.644315196006158,,
7,blended_known,S_3,10,3,0,2.06594058538206,5,"[6.90398762e-34 3.32544637e-30 3.63108825e-28 ... 1.19331642e-17
 8.46951302e-19 5.89015316e-20]",1000,3,3,12,9,3,4.834576394650267,"[2.75686389e-24 2.75686389e-24 2.75686389e-24 ... 1.03086871e-10
 1.68556905e-11 2.33751342e-12]",25.554451453000972,,
8,blended_known,S_3,10,3,0,2.06594058538206,5,"[6.90398762e-34 3.32544637e-30 3.63108825e-28 ... 1.19331642e-17
 8.46951302e-19 5.89015316e-20]",1000,3,3,12,10,3,8.321943328709022,"[2.86714778e-34 1.22338473e-30 1.33362868e-28 ... 5.79201307e-21
 5.79201307e-21 5.79201307e-21]",15.989444244687954,,
9,blended_known,S_3,10,3,0,2.06594058538206,5,"[6.90398762e-34 3.32544637e-30 3.63108825e-28 ... 1.19331642e-17
 8.46951302e-19 5.89015316e-20]",1000,3,3,12,11,3,7.31163058277732,"[9.51552237e-35 5.10553600e-31 5.58206512e-29 ... 2.46490795e-27
 2.46490795e-27 2.46490795e-27]",23.70586068685293,,
10,blended_known,S_3,10,3,0,2.06594058538206,5,"[6.90398762e-34 3.32544637e-30 3.63108825e-28 ... 1.19331642e-17
 8.46951302e-19 5.89015316e-20]",1000,3,3,12,12,3,2.609844495003618,"[1.13685614e-34 6.32429231e-31 6.91738451e-29 ... 2.54472779e-10
 4.61327193e-11 6.63747700e-12]",20.199676070094,,
11,blended_gmm,S_3,10,3,0,2.06594058538206,5,"[6.90398762e-34 3.32544637e-30 3.63108825e-28 ... 1.19331642e-17
 8.46951302e-19 5.89015316e-20]",1000,3,3,20,2,6,6.793529781664976,"[1.60816313e-57 2.57803628e-53 4.86528796e-51 ... 1.60655505e-22
 6.45143597e-24 8.27374553e-27]",23.0516366269984,1.5055651871847677,0.0022808321296571288
12,blended_gmm,S_3,10,3,0,2.06594058538206,5,"[6.90398762e-34 3.32544637e-30 3.63108825e-28 ... 1.19331642e-17
 8.46951302e-19 5.89015316e-20]",1000,3,3,20,3,6,3.815905817268041,"[6.95859715e-60 1.11552857e-55 2.10785084e-53 ... 4.65623616e-22
 1.95505251e-23 2.50751262e-26]",24.935843908154553,1.5055651871847677,0.0022808321296571288
13,blended_gmm,S_3,10,3,0,2.06594058538206,5,"[6.90398762e-34 3.32544637e-30 3.63108825e-28 ... 1.19331642e-17
 8.46951302e-19 5.89015316e-20]",1000,3,3,20,4,6,7.410153342767803,"[3.56135632e-54 5.70918744e-50 1.07655539e-47 ... 2.88567984e-20
 1.38611634e-21 1.77824606e-24]",19.117404661013897,1.5055651871847677,0.0022808321296571288
14,blended_gmm,S_3,10,3,0,2.06594058538206,5,"[6.90398762e-34 3.32544637e-30 3.63108825e-28 ... 1.19331642e-17
 8.46951302e-19 5.89015316e-20]",1000,3,3,20,5,6,0.7734596812455767,"[1.58411343e-21 1.58411343e-21 1.58411343e-21 ... 1.58411343e-21
 1.58411343e-21 1.58411343e-21]",26.617388620918405,1.5055651871847677,0.0022808321296571288
15,blended_gmm,S_3,10,3,0,2.06594058538206,5,"[6.90398762e-34 3.32544637e-30 3.63108825e-28 ... 1.19331642e-17
 8.46951302e-19 5.89015316e-20]",1000,3,3,20,6,6,6.38015702724377,"[9.49132667e-21 9.49132667e-21 9.49132667e-21 ... 1.05599249e-19
 3.49154429e-21 4.47581094e-24]",23.34061230140019,1.5055651871847677,0.0022808321296571288
16,blended_gmm,S_3,10,3,0,2.06594058538206,5,"[6.90398762e-34 3.32544637e-30 3.63108825e-28 ... 1.19331642e-17
 8.46951302e-19 5.89015316e-20]",1000,3,3,20,7,6,-21.411552913619733,"[5.36519582e-47 8.60091098e-43 1.62187282e-40 ... 1.80451859e-20
 8.17864448e-22 1.04912893e-24]",8.873598537649743,1.5055651871847677,0.0022808321296571288
17,blended_gmm,S_3,10,3,0,2.06594058538206,5,"[6.90398762e-34 3.32544637e-30 3.63108825e-28 ... 1.19331642e-17
 8.46951302e-19 5.89015316e-20]",1000,3,3,20,8,6,-6.9876786839212555,"[3.42993321e-45 5.49850386e-41 1.03677665e-38 ... 1.39481921e-20
 6.06049475e-22 7.77358790e-25]",6.7856490235237406,1.5055651871847677,0.0022808321296571288
18,blended_gmm,S_3,10,3,0,2.06594058538206,5,"[6.90398762e-34 3.32544637e-30 3.63108825e-28 ... 1.19331642e-17
 8.46951302e-19 5.89015316e-20]",1000,3,3,20,9,6,-6.239157954231575,"[1.32670798e-42 2.12683699e-38 4.00975797e-36 ... 3.31903748e-24
 3.31903748e-24 3.31903748e-24]",10.039910172604255,1.5055651871847677,0.0022808321296571288
19,blended_gmm,S_3,10,3,0,2.06594058538206,5,"[6.90398762e-34 3.32544637e-30 3.63108825e-28 ... 1.19331642e-17
 8.46951302e-19 5.89015316e-20]",1000,3,3,20,10,6,-7.136010022527079,"[2.08609128e-44 3.34419953e-40 6.30593032e-38 ... 1.23133010e-19
 5.64818609e-21 7.24546010e-24]",20.849460702394783,1.5055651871847677,0.0022808321296571288
20,blended_gmm,S_3,10,3,0,2.06594058538206,5,"[6.90398762e-34 3.32544637e-30 3.63108825e-28 ... 1.19331642e-17
 8.46951302e-19 5.89015316e-20]",1000,3,3,20,11,6,2.503337091841867,"[8.77216703e-25 8.77216703e-25 8.77216703e-25 ... 8.77216703e-25
 8.77216703e-25 8.77216703e-25]",27.217661099246765,1.5055651871847677,0.0022808321296571288
21,blended_gmm,S_3,10,3,0,2.06594058538206,5,"[6.90398762e-34 3.32544637e-30 3.63108825e-28 ... 1.19331642e-17
 8.46951302e-19 5.89015316e-20]",1000,3,3,20,12,6,2.233730149083797,"[1.76864021e-22 1.76864021e-22 1.76864021e-22 ... 1.76864021e-22
 1.76864021e-22 1.76864021e-22]",24.516703959309947,1.5055651871847677,0.0022808321296571288
22,blended_gmm,S_3,10,3,0,2.06594058538206,5,"[6.90398762e-34 3.32544637e-30 3.63108825e-28 ... 1.19331642e-17
 8.46951302e-19 5.89015316e-20]",1000,3,3,20,13,6,-6.30021528909779,"[4.67317613e-28 4.67317613e-28 4.67317613e-28 ... 4.67317613e-28
 4.67317613e-28 4.67317613e-28]",33.53124456856522,1.5055651871847677,0.0022808321296571288
23,blended_gmm,S_3,10,3,0,2.06594058538206,5,"[6.90398762e-34 3.32544637e-30 3.63108825e-28 ... 1.19331642e-17
 8.46951302e-19 5.89015316e-20]",1000,3,3,20,14,6,-3.940655201777488,"[3.86387873e-25 3.86387873e-25 3.86387873e-25 ... 5.55963471e-19
 3.78159016e-20 4.85384410e-23]",30.85476818399282,1.5055651871847677,0.0022808321296571288
24,blended_gmm,S_3,10,3,0,2.06594058538206,5,"[6.90398762e-34 3.32544637e-30 3.63108825e-28 ... 1.19331642e-17
 8.46951302e-19 5.89015316e-20]",1000,3,3,20,15,6,-2.4217361296303785,"[5.55846764e-23 5.55846764e-23 5.55846764e-23 ... 5.55846764e-23
 5.55846764e-23 5.55846764e-23]",25.825588916883234,1.5055651871847677,0.0022808321296571288
