DVSEED,spectral_gap,geo_mean_var,perc0fs_at_7,H_q3,H_f,H_uniform,_entropy_diff,_uniform_perc,_norm_entropy_diff,_norm_geo_mean_var,_norm_uniform_perc,_norm_spectral_gap,_norm_weighted_sum
79,0.07303703726273447,0.02742557859216269,3.84e-05,0.8834810006706167,0.9036283865463092,2.321928094887362,-0.020147385875692425,0.389171563295178,0.5134864443032024,0.6493703668226819,1.0,1.0,0.7907142027814711
13,0.28927892216270545,0.039638891894575354,0.0225024,1.5952914997855667,1.594944041371492,2.321928094887362,0.00034745841407479716,0.6869050100575416,1.0,0.9544623531294935,0.4942130633043117,0.6242156206933975,0.7682227592818007
15,0.16643281946362332,0.0189933913973857,0.0118272,1.922854147792623,1.9417545861911822,2.321928094887362,-0.01890043839855915,0.836268181804044,0.5430869058773437,0.43873196948809673,0.2404762328799066,0.8376971415114577,0.5149980624392012
87,0.468967245148452,0.04131180792130429,0.0,1.8658581120321596,1.8878601502298706,2.321928094887362,-0.02200203819771107,0.8130571116249194,0.4694600792813845,0.9962522639326827,0.2799069928801369,0.3119538914124199,0.514393306876656
0,0.3794622700428708,0.02862856791512896,0.0,1.6430022750664914,1.6707441518049146,2.321928094887362,-0.02774187673842321,0.7195503407205912,0.33320584782271273,0.6794213769754439,0.4387554653319198,0.4674953191541471,0.47971950232105587
5,0.5246391458818738,0.04146183570577342,0.0,1.860778181091349,1.8858570057740764,2.321928094887362,-0.025078824682727374,0.8121944042653743,0.3964222795410609,1.0,0.28137255248519344,0.21520746011117065,0.47325057303435625
67,0.27145754352863305,0.02901495349918963,0.0374528,1.9797226214487904,2.009271903698102,2.321928094887362,-0.029549282249311748,0.8653463077182728,0.2903010436067859,0.6890733970622536,0.19107857067251632,0.6551855491672024,0.45640964012718954
39,0.44477881532436614,0.017662728526547763,0.0,1.7123469936513882,1.7265448560873624,2.321928094887362,-0.014197862435974207,0.7435823959790271,0.6547182469182604,0.40549163835792973,0.3979300231659699,0.35398845882312335,0.45303209181632087
10,0.3524839502610916,0.0244812152144847,0.0188928,2.0909196636223504,2.1078338587124765,2.321928094887362,-0.01691419509012615,0.9077946312608481,0.590237022306732,0.5758193451578765,0.11896773540716299,0.5143781474213007,0.44985056257326805
52,0.40593398642779344,0.024784313656251576,0.0216704,1.9967919018481295,2.0146992826860437,2.321928094887362,-0.01790738083791421,0.8676837526201593,0.5666604426171266,0.583390829107845,0.18710774002021224,0.42149286447017065,0.4396629690538386
46,0.408418215702249,0.0252185791611159,0.0042752,1.9848806015581355,2.004155444071423,2.321928094887362,-0.019274842513287593,0.8631427684967331,0.5341991741849885,0.5942389030238244,0.19482192354358596,0.41717577966308805,0.43510894510387177
92,0.4260112449498684,0.02881210712102351,0.0001408,2.0027888137764256,2.025925735546318,2.321928094887362,-0.02313692176989246,0.8725187226973954,0.44251982864090883,0.6840062377339476,0.17889413576790802,0.38660267594177256,0.4230057195211343
9,0.294907801967746,0.023354626577467747,0.0,2.076645609903985,2.1028597196078853,2.321928094887362,-0.026214109703900146,0.9056523861519045,0.3694724991684503,0.5476768455341021,0.12260696238379742,0.6144337733667009,0.4135475201132627
20,0.3804042708532692,0.02542136888539699,0.0216064,2.0174099422286584,2.0439841966609933,2.321928094887362,-0.026574254432334854,0.880296078574366,0.36092326161782834,0.599304647122218,0.16568203263545456,0.46585831349261386,0.39794206371702867
61,0.4192325102005817,0.028962366350938754,0.0,2.0214410844789668,2.048759562949552,2.321928094887362,-0.027318478470585106,0.8823527168910621,0.34325661931672347,0.6877597553733188,0.16218823371764957,0.3983827371053309,0.3978968363782557
62,0.4132418770452717,0.01669033696789555,0.0,1.9823514895216927,1.9993545584109762,2.321928094887362,-0.01700306888928349,0.861075139584788,0.5881273059592939,0.3812010249304845,0.19833439318704815,0.4087932381188746,0.39411399054892526
51,0.20954123817354664,0.009615918805682314,0.0,2.0619720139273428,2.084442888232271,2.321928094887362,-0.022470874304928223,0.8977206886044369,0.4583306889656383,0.2044800782363347,0.1360812597761636,0.7627834846346172,0.3904188779031884
34,0.35663886668558675,0.01838323025025203,0.0299904,1.9933361572702104,2.0193388804373664,2.321928094887362,-0.026002723167156017,0.869681918610544,0.37449046437783545,0.4234899731733473,0.18371327337134824,0.5071577484205615,0.3722128648357731
12,0.5050765175740725,0.014963935487871765,0.0,1.76339081381658,1.7823078009016804,2.321928094887362,-0.01891698708510048,0.767598189119694,0.5426940675509089,0.33807503252681576,0.3571322069413444,0.24920332608160212,0.37177615827516775
18,0.47662219617784274,0.02431818352257576,0.0,2.0651476656249717,2.091131379366252,2.321928094887362,-0.02598371374128039,0.9006012649447243,0.37494171656808134,0.5717467678413154,0.13118776225710627,0.29865114471035203,0.3441318478442138
25,0.3981471813529326,0.009021102225840764,0.0,1.76806392341017,1.7929932162893647,2.321928094887362,-0.024929292879194653,0.7722001470404464,0.3999719161422417,0.18962139350937912,0.34931444167227277,0.4350247466640004,0.3434831244969735
14,0.5018242515811355,0.025257443941851657,0.0,1.9934449643294625,2.0217626637792363,2.321928094887362,-0.028317699449773803,0.8707257852777361,0.319536773259896,0.5952097561296485,0.18193996194242013,0.25485510236935105,0.33788539842532894
68,0.3900591083524725,0.017827138464696714,0.0090112,2.0383917559402067,2.066502293760971,2.321928094887362,-0.028110537820764225,0.8899940951277469,0.3244544461784315,0.4095986446515073,0.1492071281935844,0.44908017118858,0.33308509755302584
