,DVSEED,spectral_gap,geo_mean_var,perc0fs_at_7,H_q3,H_f,H_uniform,_entropy_diff,_uniform_perc,_norm_entropy_diff,_norm_geo_mean_var,_norm_uniform_perc,_norm_spectral_gap,_norm_weighted_sum
95,95,0.30813866175156324,0.04603769377753398,0.0,0.7799383062391712,0.755528410677094,1.584962500721156,0.024409895562077177,0.4766853539647338,1.0,1.0,0.8802127647048477,0.5914412322414946,0.8679134992365856
133,133,0.0730370372627337,0.016933767637440776,0.0,0.6606751145311691,0.6467609608701761,1.584962500721156,0.013914153660993023,0.40806073366145923,0.642468421526433,0.36157295027030195,1.0,1.0,0.7510103429491837
24,24,0.16643281946362343,0.03194476236465356,0.0054869684499314125,1.2679532179270336,1.2537418333921795,1.584962500721156,0.014211384534854155,0.7910230259843551,0.6525934250282505,0.6908558460236864,0.33152279725670597,0.8376971415114562,0.6281673024550247
81,81,0.20954123817354786,0.04500863059583438,0.0,1.1862971692069555,1.1849826321257204,1.584962500721156,0.0013145370812350787,0.7476408000735378,0.2132695286442382,0.9774263524475868,0.4072483441499477,0.7627834846346138,0.5901819274690967
35,35,0.46216403056802935,0.045103577521266515,0.0,1.2993678057941693,1.289034901487189,1.584962500721156,0.010332904306980417,0.8132904727403201,0.5204751649739535,0.9795091190541525,0.29265400829742094,0.3237764935395523,0.5291036964662699
157,157,0.37381854083037236,0.022936546052254685,0.0361225422953818,1.15467049998878,1.141880474413225,1.584962500721156,0.012790025575555086,0.7204463663295949,0.6041756269264078,0.4932505835594883,0.4547174014534048,0.47730297172836544,0.5073616459169166
146,146,0.4689672451484517,0.03579651645560374,0.0,1.4129932108742445,1.3958500509989826,1.584962500721156,0.017143159875261826,0.8806833286994945,0.7524627125035417,0.7753483639311602,0.17501687080481865,0.31195389141241936,0.503695459662985
20,20,0.2892789221627047,0.008349454463881295,0.0,0.8942196459100481,0.8887044015884422,1.584962500721156,0.005515244321605883,0.5607100490920655,0.35636427168474477,0.1732664755022276,0.7335440344249536,0.6242156206933978,0.4718476005763309
44,44,0.23052418361587312,0.023053082431508245,0.0,1.1725498382565558,1.1723782133653011,1.584962500721156,0.00017162489125466251,0.7396882972511151,0.1743368640273453,0.49580693889226723,0.42112978090784936,0.7263193965939645,0.4543982451053566
58,58,0.2826216898395497,0.023770033220746098,0.0,1.2430892836553535,1.2401293077534126,1.584962500721156,0.00295997590194097,0.7824344785376027,0.2693204819158591,0.5115340533362511,0.34651447734617113,0.6357845353725029,0.44078838699269607
31,31,0.3804042708532662,0.023710429979459765,0.06995884773662552,1.3778241938287303,1.3658517011800337,1.584962500721156,0.011972492648696598,0.8617564772406746,0.5763268249504715,0.5102265898240915,0.208054506555291,0.46585831349261786,0.44011655870561794
136,136,0.5117436910633504,0.03315802641726131,0.09876543209876543,1.3296208459235477,1.3203274372361118,1.584962500721156,0.009293408687435889,0.833033864609014,0.48506532799675767,0.717470144930335,0.2581910660348933,0.23761713567932685,0.4245859186603282
142,142,0.3568284094244055,0.02449829043491775,0.0,1.3618281591876846,1.3553254562863102,1.584962500721156,0.006502702901374446,0.8551151561438448,0.3900014960019179,0.5275091868096516,0.21964721904507722,0.5068283617224558,0.4109965658947757
138,138,0.38751249498044804,0.028242464369946405,0.054412437128486514,1.272186301438307,1.269736158460745,1.584962500721156,0.0024501429775620753,0.8011143215584069,0.25195330845362374,0.6096418141228517,0.313908005480522,0.453505666858776,0.40725219872894336
159,159,0.2006305486026495,0.017483627427257422,0.0,1.3758852525666,1.3729117593493805,1.584962500721156,0.002973493217219625,0.8662108780016607,0.26978094170172745,0.3736347374562596,0.20027915785832062,0.778268449312677,0.40549082158224614
26,26,0.35088736595940506,0.011153085818876508,0.0,1.255311262187806,1.2448432653454449,1.584962500721156,0.010467996842361105,0.78540865463949,0.5250770166457885,0.2347672532970663,0.34132292465048386,0.5171526859483637,0.4045799701354256
55,55,0.39143067377534624,0.018831102027392438,0.0,1.425437582357048,1.4151294574516633,1.584962500721156,0.010308124905384686,0.8928472798616882,0.5196310685156329,0.40319309427069683,0.15378416928246263,0.4466966696696598,0.38082625043461305
84,84,0.4059339864277963,0.024057727399726146,0.0,1.3274952765694312,1.3231564977390213,1.584962500721156,0.004338778830409895,0.8348188030549535,0.3162886326254865,0.5178449457232963,0.2550753789729291,0.42149286447016454,0.3776754554479691
158,158,0.37425794449657857,0.012860182615775869,0.0,1.4845810641031696,1.469936192415671,1.584962500721156,0.014644871687498506,0.9274264796465859,0.6673599224701261,0.27221432371641097,0.09342468426606299,0.47653937759836273,0.37738457701274064
82,82,0.44944861292483307,0.0245857517234972,0.0,1.41883823074174,1.4098899054538951,1.584962500721156,0.008948325287844838,0.8895414906109116,0.47331025496584894,0.5294277476307778,0.15955456703576087,0.3458733011440691,0.3770414676941142
125,125,0.42983614944436643,0.028384746392625466,0.0,1.3882200480267386,1.3841220037169906,1.584962500721156,0.004098044309748028,0.8732837547179928,0.3080881458017371,0.6127629288319573,0.1879331464168199,0.3799557705005021,0.3721849978877541
46,46,0.2023251062315784,0.003306771286182175,0.037037037037037035,1.350682475524944,1.3436402712963482,1.584962500721156,0.007042204228595805,0.8477426252576913,0.4083793070159361,0.06264960105156567,0.23251628976747374,0.7753236530856145,0.36971721273014746
137,137,0.44525563776158583,0.03590276905756929,0.0,1.407445142512713,1.407218829843568,1.584962500721156,0.00022631266914507897,0.8878562295343171,0.1761997725989016,0.7776791331501461,0.1624962629493215,0.35315983848579513,0.3673837517960411
74,74,0.40841821570224957,0.02345265592312444,0.0,1.453394173553684,1.4462297646980427,1.584962500721156,0.007164408855641291,0.9124693890486429,0.41254213929745714,0.5045720286665745,0.11953293117320407,0.41717577966308594,0.3634557197000804
66,66,0.4447788153243678,0.01222872584456384,0.0,1.0912385894151737,1.0867037212963016,1.584962500721156,0.00453486811887216,0.6856337110826614,0.3229683045806849,0.2583626158218745,0.5154843930503616,0.35398845882311936,0.36270094306901
111,111,0.27145754352863205,0.010397045802147795,0.0,1.3366806952862071,1.3319061846098408,1.584962500721156,0.004774510676366361,0.840339240836187,0.331131594289771,0.21818267309182812,0.24543921666688684,0.655185549167203,0.36248475830392224
98,98,0.40035204306574224,0.024537380601229487,0.0489254686785551,1.3189232166240468,1.3176313560243118,1.584962500721156,0.001291860599734962,0.8313328267544444,0.21249706698298815,0.5283666731649879,0.26116030099504006,0.43119314581299695,0.35830429673900327
4,4,0.5306871012039555,0.021337790005027325,0.0,1.2392992494248056,1.2321918244876415,1.584962500721156,0.007107424937164097,0.7774264841767523,0.41060101398085086,0.4581800882058463,0.3552561475544559,0.20469734483986668,0.357183648645255
88,88,0.4009227964488534,0.027480907796083587,0.039323273891175126,1.3646321946325866,1.3638555415595015,1.584962500721156,0.000776653073085054,0.860497040743203,0.1949468106999543,0.592936222089902,0.21025290729536383,0.4302012926116211,0.35708430817421033
3,3,0.37946227004287125,0.002070345763944204,0.0,0.7675181973603231,0.7721176740292733,1.584962500721156,-0.00459947666895022,0.48715201380345635,0.011811957455324183,0.035527229500276356,0.861942758410976,0.4674953191541452,0.3441943161301804
45,45,0.47813608393496143,0.013555746122834446,0.051211705532693184,1.4133233728989665,1.4001482929731637,1.584962500721156,0.013175079925802802,0.883395217449055,0.6172922880390405,0.2874722842944276,0.17028315199803667,0.2960203159446293,0.3427670100690335
28,28,0.4766221961778433,0.033650807620212456,0.0,1.4189563195108534,1.418677743232214,1.584962500721156,0.0002785762786394752,0.8950859989348122,0.17798010322968127,0.7282798497120192,0.14987638855905872,0.2986511447103499,0.3386968715527773
151,151,0.44023263728569006,0.020173330524269936,0.0,1.3601451431687803,1.3554775477240528,1.584962500721156,0.004667595444727501,0.8552111151571802,0.327489586712702,0.4326363719645662,0.21947971844750314,0.3618887908668956,0.3353736169979168
119,119,0.37267118352834394,0.017497354076859754,0.0,1.468200363386409,1.4620591477235814,1.584962500721156,0.006141215662827548,0.9224566177801343,0.37768763537026756,0.373935846810582,0.10209979256028878,0.4792968451714549,0.33325502997814827
101,101,0.4192325102005845,0.02104163555800647,0.0,1.436113119358208,1.4308890096685936,1.584962500721156,0.005224109689614398,0.9027904502583126,0.34644693325310094,0.4516836104122407,0.1364279363937918,0.398382737105325,0.3332353042911146
15,15,0.2949078019677456,0.01633354274186653,0.0,1.4018509328576223,1.4013462874784635,1.584962500721156,0.0005046453791588412,0.8841510678270638,0.18568102071741402,0.348406348368853,0.16896378255484945,0.6144337733667005,0.3293712312519542
92,92,0.45549708422116797,0.01983595040545887,0.09830818472793781,1.4129604103686735,1.4067911104616515,1.584962500721156,0.0061692999070219745,0.8875863686500868,0.37864430944359184,0.4252355631234085,0.16296731676489662,0.33536228921454214,0.3255523696366098
106,106,0.44965422935634114,0.016892029322612856,0.0,1.4372285913310034,1.4291614326049866,1.584962500721156,0.008067158726016821,0.9017004704872954,0.44329380879962277,0.36065737382649116,0.1383305431072539,0.3455159816399165,0.32194942684332106
22,22,0.5045728125950957,0.003515714558934717,0.0,0.7881729931036113,0.790038988005966,1.584962500721156,-0.0018659949023546174,0.49845910401444776,0.10492648522764768,0.06723300456015655,0.8422057446450446,0.2500786628044843,0.3161109743093333
149,149,0.47991316361654035,0.012829516230141978,0.01188843164151806,1.5140143964457078,1.5003835040075628,1.584962500721156,0.01363089243814497,0.9466365944461715,0.6328192863743238,0.2715416223766715,0.05989260013393327,0.2929321131876591,0.31429640551814697
108,108,0.4476614167476888,0.02507611788604529,0.0,1.464704658797489,1.461965346289166,1.584962500721156,0.002739312508323044,0.9223974356642339,0.26180370681076615,0.5401844758101962,0.1022030974967868,0.3489790843110905,0.3132925911072099
59,59,0.4815865203407169,0.022789289781555738,0.0,1.3753363373194196,1.3726662715968014,1.584962500721156,0.0026700657226181868,0.8660559924744212,0.25944485377964105,0.49002035317737447,0.20054951722808123,0.2900241598175518,0.31000972100066215
105,105,0.3886617830057272,0.011724966767623614,0.0,1.2647716661556911,1.2640309195948163,1.584962500721156,0.0007407465608748609,0.7975147166066602,0.1937236754410104,0.24731209914184296,0.3201912712154569,0.4515084382116811,0.30318387100249783
50,50,0.5768017642188874,0.03334721758689488,0.0009144947416552355,1.3720207455605975,1.3721531975995724,1.584962500721156,-0.0001324520389749395,0.8657322788237857,0.1639786534437603,0.7216202640476893,0.2011145733706955,0.12455944729048374,0.30281823453815726
91,91,0.39369412917603386,0.015853674583858942,0.009144947416552356,1.508776129278153,1.5028151135398111,1.584962500721156,0.005961015738341846,0.9481707692491349,0.37154922571334414,0.3378799056167196,0.057214631829055174,0.44276324491603714,0.30235175201878906
10,10,0.5246391458818747,0.018705388483957055,0.0,1.3256007266766316,1.3208535299381625,1.584962500721156,0.004747196738469128,0.8333657921478747,0.330201160269693,0.4004354276156831,0.2576116721960242,0.2152074601111681,0.30086393004814216
144,144,0.4507477910997616,0.021933935625384884,0.09647919524462735,1.313857395610723,1.3153937998310719,1.584962500721156,-0.0015364042203489525,0.8299210859768412,0.1161538074977859,0.47125720665997317,0.2636245554266883,0.343615593927449,0.2986627908779741
7,7,0.36961916034998044,0.0014245680280793405,0.0,1.1385196019583974,1.1368151975558884,1.584962500721156,0.0017044044025089633,0.7172505324502244,0.22655014092338685,0.021361375288552854,0.4602958673622952,0.4846006402074684,0.29820200594542584
153,153,0.4735840223215926,0.013444707783867046,0.0,1.2775745156768596,1.2740786070170933,1.584962500721156,0.0034959086597663447,0.8038541015559605,0.28757673160900427,0.28503653460166756,0.3091256012971032,0.3039308724436004,0.29641743498784384
32,32,0.4411944760217895,0.013499089062802587,0.0,1.373878774079039,1.3693003315490648,1.584962500721156,0.0045784425299741915,0.8639323207495665,0.32445264252736744,0.28622944855094795,0.20425647784178824,0.36021731092856,0.2937889699621659
62,62,0.45286480905779225,0.014987487128795988,0.039780521262002745,1.427778630946935,1.4220945038252006,1.584962500721156,0.005684127121734273,0.8972417348537579,0.36211716982915343,0.31887911861682017,0.14611345851127466,0.33993664764140696,0.2917615986496638
93,93,0.34754434739256457,0.009668285280415252,0.0,1.4193175585929905,1.4161175900314327,1.584962500721156,0.0031999685615577977,0.8934707221067381,0.27749569765796983,0.2021964990062553,0.1526959239476151,0.5229621717366129,0.2888375730871133
56,56,0.4323256911018959,0.01461510293652937,0.0,1.4719960375838381,1.4661780340482058,1.584962500721156,0.005818003535632332,0.9250553457139185,0.3666775950027574,0.31071045642016737,0.09756360083935,0.3756294538529876,0.2876452765288156
23,23,0.5018242515811341,0.020453707541187315,0.0,1.468107858658359,1.4627440094782802,1.584962500721156,0.005363849180078706,0.922888717438257,0.35120708085120783,0.43878675424841856,0.10134554396569195,0.2548551023693525,0.2865486203586677
112,112,0.3900591083524727,0.020612137651719462,0.0,1.4586105445284478,1.4594238332329224,1.584962500721156,-0.0008132887044745019,0.9207939194579595,0.14078633316827846,0.4422620952580307,0.10500210421262302,0.44908017118857846,0.2842826759568776
