,case,name,d0,n0,repetition,nll_source,steps_fsp,fsp_source,seqlength,cwlen,iwlen,rankmax,ranknum,d1,n1,nll_learned,fsp_learned,kl_divergence,mse,nll_gmm,l2_gmm
0,blended_known,S_5,10,5,1,2.7460648252966138,5,"[5.69768662e-13 1.24481885e-11 2.10230061e-11 ... 7.26395247e-12
 1.00239510e-12 3.24721701e-13]",1000,2,2,25,1,2,5,3.5146886793743737,"[8.39614738e-15 7.79609277e-14 8.63249236e-13 ... 1.43363423e-22
 1.43363423e-22 1.43363423e-22]",20.715882107718357,0.0009136439967939551,,
1,blended_known,S_5,10,5,1,2.7460648252966138,5,"[5.69768662e-13 1.24481885e-11 2.10230061e-11 ... 7.26395247e-12
 1.00239510e-12 3.24721701e-13]",1000,2,2,25,1,3,5,3.504556227716218,"[9.14068393e-15 1.16495004e-13 8.95510245e-13 ... 1.19407192e-22
 1.19407192e-22 1.19407192e-22]",20.86808683244835,0.0009494004826609008,,
2,blended_known,S_5,10,5,1,2.7460648252966138,5,"[5.69768662e-13 1.24481885e-11 2.10230061e-11 ... 7.26395247e-12
 1.00239510e-12 3.24721701e-13]",1000,2,2,25,1,4,5,3.518924254107344,"[3.89328713e-14 2.58747343e-13 9.07580427e-12 ... 3.42979401e-23
 3.42979401e-23 3.42979401e-23]",21.197440781168044,0.0011165159373619758,,
3,blended_known,S_5,10,5,1,2.7460648252966138,5,"[5.69768662e-13 1.24481885e-11 2.10230061e-11 ... 7.26395247e-12
 1.00239510e-12 3.24721701e-13]",1000,2,2,25,1,5,5,3.673647125604688,"[2.21510212e-11 5.10348629e-10 4.95969990e-10 ... 2.49334757e-10
 3.62413610e-11 1.16881110e-11]",17.942275948626442,0.00016872191129732434,,
4,blended_known,S_5,10,5,1,2.7460648252966138,5,"[5.69768662e-13 1.24481885e-11 2.10230061e-11 ... 7.26395247e-12
 1.00239510e-12 3.24721701e-13]",1000,2,2,25,1,6,5,3.633524810542656,"[1.17253430e-11 2.70676063e-10 2.66440479e-10 ... 3.08792797e-10
 4.84275211e-11 1.58650133e-11]",18.31858400289137,0.0002621921959431846,,
5,blended_known,S_5,10,5,1,2.7460648252966138,5,"[5.69768662e-13 1.24481885e-11 2.10230061e-11 ... 7.26395247e-12
 1.00239510e-12 3.24721701e-13]",1000,2,2,25,1,7,5,4.038606484851442,"[1.17593256e-23 1.17593256e-23 1.17593256e-23 ... 1.17593256e-23
 1.17593256e-23 1.17593256e-23]",17.817319165138368,0.00017462581416783634,,
6,blended_known,S_5,10,5,1,2.7460648252966138,5,"[5.69768662e-13 1.24481885e-11 2.10230061e-11 ... 7.26395247e-12
 1.00239510e-12 3.24721701e-13]",1000,2,2,25,1,8,5,4.528808521391189,"[1.16474269e-25 1.16474269e-25 1.16474269e-25 ... 1.33470468e-11
 9.04501318e-12 3.06779251e-12]",30.12922490341296,0.0005404991152354864,,
7,blended_known,S_5,10,5,1,2.7460648252966138,5,"[5.69768662e-13 1.24481885e-11 2.10230061e-11 ... 7.26395247e-12
 1.00239510e-12 3.24721701e-13]",1000,2,2,25,1,9,5,4.546397310542411,"[1.67994022e-24 1.67994022e-24 1.67994022e-24 ... 1.67994022e-24
 1.67994022e-24 1.67994022e-24]",23.069926517093993,0.0002996018696706584,,
8,blended_known,S_5,10,5,1,2.7460648252966138,5,"[5.69768662e-13 1.24481885e-11 2.10230061e-11 ... 7.26395247e-12
 1.00239510e-12 3.24721701e-13]",1000,2,2,25,1,10,5,3.7497335523997766,"[3.26740351e-22 3.26740351e-22 3.26740351e-22 ... 3.26740351e-22
 3.26740351e-22 3.66423718e-13]",17.66200749007991,0.0002616899578868283,,
9,blended_known,S_5,10,5,1,2.7460648252966138,5,"[5.69768662e-13 1.24481885e-11 2.10230061e-11 ... 7.26395247e-12
 1.00239510e-12 3.24721701e-13]",1000,2,2,25,1,11,5,4.753000210652924,"[1.30954179e-12 3.15193934e-11 1.47363553e-11 ... 3.23477607e-26
 3.23477607e-26 3.23477607e-26]",23.92540127861377,0.0003213017675439429,,
10,blended_known,S_5,10,5,1,2.7460648252966138,5,"[5.69768662e-13 1.24481885e-11 2.10230061e-11 ... 7.26395247e-12
 1.00239510e-12 3.24721701e-13]",1000,2,2,25,1,12,5,4.145667983436264,"[1.84285148e-12 3.77773225e-11 4.69701927e-11 ... 2.46839786e-10
 4.10580312e-11 1.45826446e-11]",18.188072500357727,0.00021371098237906355,,
11,blended_known,S_5,10,5,1,2.7460648252966138,5,"[5.69768662e-13 1.24481885e-11 2.10230061e-11 ... 7.26395247e-12
 1.00239510e-12 3.24721701e-13]",1000,2,2,25,1,13,5,5.030694495719007,"[5.98916726e-25 5.98916726e-25 5.98916726e-25 ... 1.10430642e-10
 2.12027501e-11 7.23019919e-12]",20.81686275097623,0.00029838082736677687,,
