,source_alphabet_size,source_density,source_dimension,source_stationary_state,source_membership_functions,training_length,ci_words_length,target_dimension,nll_source,nll_learned
55,2,0.5,2,True,"get_beta, arg_sum=32",100000,6,2,1.6725923314098994,1.6725923314098994
56,2,0.5,2,True,"get_beta, arg_sum=32",100000,10,2,1.6725923314098994,1.6725923314098994
57,2,0.5,2,True,"get_beta, arg_sum=128",100000,2,2,2.556774988462474,2.556774988462474
58,2,0.5,2,True,"get_beta, arg_sum=128",100000,6,2,2.556774988462474,2.556774988462474
59,2,0.5,2,True,"get_beta, arg_sum=128",100000,10,2,2.556774988462474,2.556774988462474
60,2,0.5,16,True,"get_beta, arg_sum=32",100000,2,2,1.668131986329013,1.668131986329013
61,2,0.5,16,True,"get_beta, arg_sum=32",100000,2,4,1.668131986329013,1.668131986329013
62,2,0.5,16,True,"get_beta, arg_sum=32",100000,2,6,1.668131986329013,1.668131986329013
63,2,0.5,16,True,"get_beta, arg_sum=32",100000,2,8,1.668131986329013,1.668131986329013
64,2,0.5,16,True,"get_beta, arg_sum=32",100000,2,10,1.668131986329013,1.668131986329013
65,2,0.5,16,True,"get_beta, arg_sum=32",100000,2,12,1.668131986329013,1.668131986329013
66,2,0.5,16,True,"get_beta, arg_sum=32",100000,2,14,1.668131986329013,1.668131986329013
67,2,0.5,16,True,"get_beta, arg_sum=32",100000,2,16,1.668131986329013,1.668131986329013
68,2,0.5,16,True,"get_beta, arg_sum=32",100000,6,2,1.668131986329013,1.668131986329013
69,2,0.5,16,True,"get_beta, arg_sum=32",100000,6,4,1.668131986329013,1.668131986329013
70,2,0.5,16,True,"get_beta, arg_sum=32",100000,6,6,1.668131986329013,1.668131986329013
71,2,0.5,16,True,"get_beta, arg_sum=32",100000,6,8,1.668131986329013,1.668131986329013
72,2,0.5,16,True,"get_beta, arg_sum=32",100000,6,10,1.668131986329013,1.668131986329013
73,2,0.5,16,True,"get_beta, arg_sum=32",100000,6,12,1.668131986329013,nan
74,2,0.5,16,True,"get_beta, arg_sum=32",100000,6,14,1.668131986329013,nan
75,2,0.5,16,True,"get_beta, arg_sum=32",100000,6,16,1.668131986329013,1.668131986329013
76,2,0.5,16,True,"get_beta, arg_sum=32",100000,10,2,1.668131986329013,1.668131986329013
77,2,0.5,16,True,"get_beta, arg_sum=32",100000,10,4,1.668131986329013,1.668131986329013
78,2,0.5,16,True,"get_beta, arg_sum=32",100000,10,6,1.668131986329013,nan
79,2,0.5,16,True,"get_beta, arg_sum=32",100000,10,8,1.668131986329013,nan
80,2,0.5,16,True,"get_beta, arg_sum=32",100000,10,10,1.668131986329013,nan
81,2,0.5,16,True,"get_beta, arg_sum=32",100000,10,12,1.668131986329013,nan
82,2,0.5,16,True,"get_beta, arg_sum=32",100000,10,14,1.668131986329013,1.668131986329013
83,2,0.5,16,True,"get_beta, arg_sum=32",100000,10,16,1.668131986329013,nan
84,2,0.5,16,True,"get_beta, arg_sum=128",100000,2,2,2.5417574523292865,2.5417574523292865
85,2,0.5,16,True,"get_beta, arg_sum=128",100000,2,4,2.5417574523292865,2.5417574523292865
86,2,0.5,16,True,"get_beta, arg_sum=128",100000,2,6,2.5417574523292865,2.5417574523292865
87,2,0.5,16,True,"get_beta, arg_sum=128",100000,2,8,2.5417574523292865,2.5417574523292865
88,2,0.5,16,True,"get_beta, arg_sum=128",100000,2,10,2.5417574523292865,2.5417574523292865
89,2,0.5,16,True,"get_beta, arg_sum=128",100000,2,12,2.5417574523292865,2.5417574523292865
90,2,0.5,16,True,"get_beta, arg_sum=128",100000,2,14,2.5417574523292865,2.5417574523292865
91,2,0.5,16,True,"get_beta, arg_sum=128",100000,2,16,2.5417574523292865,2.5417574523292865
92,2,0.5,16,True,"get_beta, arg_sum=128",100000,6,2,2.5417574523292865,2.5417574523292865
93,2,0.5,16,True,"get_beta, arg_sum=128",100000,6,4,2.5417574523292865,2.5417574523292865
94,2,0.5,16,True,"get_beta, arg_sum=128",100000,6,6,2.5417574523292865,2.5417574523292865
95,2,0.5,16,True,"get_beta, arg_sum=128",100000,6,8,2.5417574523292865,nan
96,2,0.5,16,True,"get_beta, arg_sum=128",100000,6,10,2.5417574523292865,nan
97,2,0.5,16,True,"get_beta, arg_sum=128",100000,6,12,2.5417574523292865,nan
98,2,0.5,16,True,"get_beta, arg_sum=128",100000,6,14,2.5417574523292865,nan
99,2,0.5,16,True,"get_beta, arg_sum=128",100000,6,16,2.5417574523292865,nan
100,2,0.5,16,True,"get_beta, arg_sum=128",100000,10,2,2.5417574523292865,2.5417574523292865
101,2,0.5,16,True,"get_beta, arg_sum=128",100000,10,4,2.5417574523292865,2.5417574523292865
102,2,0.5,16,True,"get_beta, arg_sum=128",100000,10,6,2.5417574523292865,2.5417574523292865
103,2,0.5,16,True,"get_beta, arg_sum=128",100000,10,8,2.5417574523292865,2.5417574523292865
104,2,0.5,16,True,"get_beta, arg_sum=128",100000,10,10,2.5417574523292865,2.5417574523292865
105,2,0.5,16,True,"get_beta, arg_sum=128",100000,10,12,2.5417574523292865,nan
106,2,0.5,16,True,"get_beta, arg_sum=128",100000,10,14,2.5417574523292865,nan
107,2,0.5,16,True,"get_beta, arg_sum=128",100000,10,16,2.5417574523292865,2.5417574523292865
108,2,1.0,2,True,"get_beta, arg_sum=32",100000,2,2,1.6635633975863453,1.6635633975863453
