,case,name,d0,n0,repetition,nll_source,steps_fsp,seqlength,cwlen,iwlen,rankmax,ranknum,d1,n1,nll_learned,kl_divergence,mse,nll_gmm,l2_gmm,nll_diff
0,blended_known,S_5,10,5,1,2.7460648252966138,5,1000,2,2,25,1,2,5,3.5146886793743737,20.71588210771836,0.0009136439967939,,,0.7686238540777599
1,blended_known,S_5,10,5,1,2.7460648252966138,5,1000,2,2,25,1,3,5,3.504556227716218,20.86808683244835,0.0009494004826609,,,0.7584914024196041
2,blended_known,S_5,10,5,1,2.7460648252966138,5,1000,2,2,25,1,4,5,3.518924254107344,21.197440781168044,0.0011165159373619,,,0.7728594288107304
3,blended_known,S_5,10,5,1,2.7460648252966138,5,1000,2,2,25,1,5,5,3.673647125604688,17.942275948626442,0.0001687219112973,,,0.9275823003080741
4,blended_known,S_5,10,5,1,2.7460648252966138,5,1000,2,2,25,1,6,5,3.633524810542656,18.31858400289137,0.0002621921959431,,,0.8874599852460423
5,blended_known,S_5,10,5,1,2.7460648252966138,5,1000,2,2,25,1,7,5,4.038606484851442,17.817319165138368,0.0001746258141678,,,1.2925416595548285
6,blended_known,S_5,10,5,1,2.7460648252966138,5,1000,2,2,25,1,8,5,4.528808521391189,30.12922490341296,0.0005404991152354,,,1.7827436960945748
7,blended_known,S_5,10,5,1,2.7460648252966138,5,1000,2,2,25,1,9,5,4.546397310542411,23.069926517093997,0.0002996018696706,,,1.8003324852457974
8,blended_known,S_5,10,5,1,2.7460648252966138,5,1000,2,2,25,1,10,5,3.749733552399777,17.66200749007991,0.0002616899578868,,,1.0036687271031632
9,blended_known,S_5,10,5,1,2.7460648252966138,5,1000,2,2,25,1,11,5,4.753000210652924,23.92540127861377,0.0003213017675439,,,2.00693538535631
10,blended_known,S_5,10,5,1,2.7460648252966138,5,1000,2,2,25,1,12,5,4.145667983436264,18.188072500357727,0.000213710982379,,,1.3996031581396506
11,blended_known,S_5,10,5,1,2.7460648252966138,5,1000,2,2,25,1,13,5,5.030694495719007,20.81686275097623,0.0002983808273667,,,2.284629670422393
12,blended_known,S_5,10,5,1,2.7460648252966138,5,1000,2,2,25,1,14,5,4.018704099826866,19.99702297125882,0.0007033715724777,,,1.2726392745302526
13,blended_gmm,S_5,10,5,1,2.7460648252966138,5,1000,3,3,27,1,2,3,2.829611757007372,0.227901916335473,5.6844706948383466e-05,1.9044776068033835,0.002144817363975,0.08354693171075844
14,blended_gmm,S_5,10,5,1,2.7460648252966138,5,1000,3,3,27,1,3,3,2.831769322792673,0.2336331920780097,5.746740047797666e-05,1.9044776068033835,0.002144817363975,0.08570449749605924
15,blended_gmm,S_5,10,5,1,2.7460648252966138,5,1000,3,3,27,1,4,3,2.831772106471862,0.2336445955419009,5.747440612355527e-05,1.9044776068033835,0.002144817363975,0.08570728117524817
16,blended_gmm,S_5,10,5,1,2.7460648252966138,5,1000,3,3,27,1,5,3,2.8269017357347628,0.2257579353599879,4.9451908956754446e-05,1.9044776068033835,0.002144817363975,0.080836910438149
17,blended_gmm,S_5,10,5,1,2.7460648252966138,5,1000,3,3,27,1,6,3,2.8273219386896926,0.2270257640826692,4.9576301545274754e-05,1.9044776068033835,0.002144817363975,0.08125711339307884
18,blended_gmm,S_5,10,5,1,2.7460648252966138,5,1000,3,3,27,1,7,3,2.819894083864701,0.2095823314821502,3.986102871854581e-05,1.9044776068033835,0.002144817363975,0.07382925856808731
19,blended_gmm,S_5,10,5,1,2.7460648252966138,5,1000,3,3,27,1,8,3,2.8204599076919825,0.2107910648267126,4.214956742671811e-05,1.9044776068033835,0.002144817363975,0.07439508239536874
20,blended_gmm,S_5,10,5,1,2.7460648252966138,5,1000,3,3,27,1,9,3,2.820947496013795,0.211428340494761,4.187958223160849e-05,1.9044776068033835,0.002144817363975,0.07488267071718102
21,blended_gmm,S_5,10,5,1,2.7460648252966138,5,1000,3,3,27,1,10,3,2.8202215506623274,0.2072380725002549,4.0594493317825085e-05,1.9044776068033835,0.002144817363975,0.0741567253657136
22,blended_gmm,S_5,10,5,1,2.7460648252966138,5,1000,3,3,27,1,11,3,3.512416211345635,0.2297133293807654,4.3442211566562e-05,1.9044776068033835,0.002144817363975,0.7663513860490214
23,blended_gmm,S_5,10,5,1,2.7460648252966138,5,1000,3,3,27,1,12,3,2.861327061829342,0.1946690776226667,3.178094640827993e-05,1.9044776068033835,0.002144817363975,0.11526223653272805
24,blended_gmm,S_5,10,5,1,2.7460648252966138,5,1000,3,3,27,1,13,3,3.240585680326834,0.2148437749599646,3.190957988619495e-05,1.9044776068033835,0.002144817363975,0.49452085503022003
25,blended_gmm,S_5,10,5,1,2.7460648252966138,5,1000,3,3,27,1,14,3,3.654795048052961,0.2212234410974031,3.701087540260822e-05,1.9044776068033835,0.002144817363975,0.9087302227563474
26,blended_known,S_5,10,5,1,2.7460648252966138,5,3162,2,2,25,1,2,5,3.1083069709188305,16.454609485384577,0.0001326731206378,,,0.3622421456222167
27,blended_known,S_5,10,5,1,2.7460648252966138,5,3162,2,2,25,1,3,5,3.670883575966752,21.77885050078853,0.0002048827919517,,,0.9248187506701382
28,blended_known,S_5,10,5,1,2.7460648252966138,5,3162,2,2,25,1,4,5,3.833234183574129,20.411229165787063,0.0003016995156606,,,1.087169358277515
