,source_alphabet_size,source_density,source_dimension,source_stationary_state,source_membership_functions,training_length,ci_words_length,target_dimension,nll_source,nll_learned
53,2,0.1,16,True,"get_beta, arg_sum=32",100000,10,16,-0.9925493654761812,nan
54,2,0.1,16,True,"get_beta, arg_sum=128",100000,2,2,-0.9630218767998445,-1.0594875020131074
55,2,0.1,16,True,"get_beta, arg_sum=128",100000,2,4,-0.9630218767998445,-2.84706895377674
56,2,0.1,16,True,"get_beta, arg_sum=128",100000,2,6,-0.9630218767998445,-2.8470689537768066
57,2,0.1,16,True,"get_beta, arg_sum=128",100000,2,8,-0.9630218767998445,-2.8470689537765845
58,2,0.1,16,True,"get_beta, arg_sum=128",100000,2,10,-0.9630218767998445,-2.847068953776972
59,2,0.1,16,True,"get_beta, arg_sum=128",100000,2,12,-0.9630218767998445,-2.847068953777172
60,2,0.1,16,True,"get_beta, arg_sum=128",100000,2,14,-0.9630218767998445,-2.847068953776887
61,2,0.1,16,True,"get_beta, arg_sum=128",100000,2,16,-0.9630218767998445,-2.84706895377677
62,2,0.1,16,True,"get_beta, arg_sum=128",100000,6,2,-0.9630218767998445,-1.059579451088091
63,2,0.1,16,True,"get_beta, arg_sum=128",100000,6,4,-0.9630218767998445,-1.0592294681413545
64,2,0.1,16,True,"get_beta, arg_sum=128",100000,6,6,-0.9630218767998445,-1.0600417381231886
65,2,0.1,16,True,"get_beta, arg_sum=128",100000,6,8,-0.9630218767998445,-1.0630861884967062
66,2,0.1,16,True,"get_beta, arg_sum=128",100000,6,10,-0.9630218767998445,nan
67,2,0.1,16,True,"get_beta, arg_sum=128",100000,6,12,-0.9630218767998445,nan
68,2,0.1,16,True,"get_beta, arg_sum=128",100000,6,14,-0.9630218767998445,nan
69,2,0.1,16,True,"get_beta, arg_sum=128",100000,6,16,-0.9630218767998445,nan
70,2,0.1,16,True,"get_beta, arg_sum=128",100000,10,2,-0.9630218767998445,-1.062175120067802
71,2,0.1,16,True,"get_beta, arg_sum=128",100000,10,4,-0.9630218767998445,-2.6354849329673793
72,2,0.1,16,True,"get_beta, arg_sum=128",100000,10,6,-0.9630218767998445,-1.0642993573695834
73,2,0.1,16,True,"get_beta, arg_sum=128",100000,10,8,-0.9630218767998445,-1.0637682665238324
74,2,0.1,16,True,"get_beta, arg_sum=128",100000,10,10,-0.9630218767998445,-1.063540692963754
75,2,0.1,16,True,"get_beta, arg_sum=128",100000,10,12,-0.9630218767998445,-1.1173617985888962
76,2,0.1,16,True,"get_beta, arg_sum=128",100000,10,14,-0.9630218767998445,nan
77,2,0.1,16,True,"get_beta, arg_sum=128",100000,10,16,-0.9630218767998445,nan
78,2,0.5,2,True,"get_beta, arg_sum=32",100000,2,2,-0.99779126347883,-1.006626768141522
79,2,0.5,2,True,"get_beta, arg_sum=32",100000,6,2,-0.99779126347883,-1.0061311094056336
80,2,0.5,2,True,"get_beta, arg_sum=32",100000,10,2,-0.99779126347883,-1.006555595854426
81,2,0.5,2,True,"get_beta, arg_sum=128",100000,2,2,-0.9633865128314102,-0.9633054788995381
