,case,name,d0,n0,repetition,nll_source,steps_fsp,fsp_source,seqlength,cwlen,iwlen,rankmax,ranknum,d1,n1,nll_learned,fsp_learned,kl_divergence,mse,nll_gmm,l2_gmm
0,blended_known,S_5,10,5,3,2.747602015891198,5,"[5.69768662e-13 1.24481885e-11 2.10230061e-11 ... 7.26395247e-12
 1.00239510e-12 3.24721701e-13]",1000,2,2,25,1,2,5,3.9960829689855206,"[3.53946294e-12 8.02362283e-11 6.65632052e-11 ... 1.61035195e-10
 1.96694136e-11 6.31276279e-12]",19.78535538590205,0.00034405693608969624,,
1,blended_known,S_5,10,5,3,2.747602015891198,5,"[5.69768662e-13 1.24481885e-11 2.10230061e-11 ... 7.26395247e-12
 1.00239510e-12 3.24721701e-13]",1000,2,2,25,1,3,5,3.2612333612243494,"[8.62825602e-29 8.62825602e-29 8.62825602e-29 ... 4.94876861e-11
 6.00154763e-12 1.92737940e-12]",27.429161071709316,0.00030820708334435004,,
2,blended_known,S_5,10,5,3,2.747602015891198,5,"[5.69768662e-13 1.24481885e-11 2.10230061e-11 ... 7.26395247e-12
 1.00239510e-12 3.24721701e-13]",1000,2,2,25,1,4,5,3.153628602000501,"[2.27084541e-11 4.67077719e-10 6.26202746e-10 ... 1.08055977e-10
 2.56309576e-11 8.95046593e-12]",3.0051361018204683,0.00013139005424899972,,
3,blended_known,S_5,10,5,3,2.747602015891198,5,"[5.69768662e-13 1.24481885e-11 2.10230061e-11 ... 7.26395247e-12
 1.00239510e-12 3.24721701e-13]",1000,2,2,25,1,5,5,3.5483842882824512,"[3.91705726e-12 7.50815587e-11 9.96514957e-11 ... 9.20571356e-21
 9.20571356e-21 9.20571356e-21]",15.481417297773973,0.00022896347110106633,,
4,blended_known,S_5,10,5,3,2.747602015891198,5,"[5.69768662e-13 1.24481885e-11 2.10230061e-11 ... 7.26395247e-12
 1.00239510e-12 3.24721701e-13]",1000,2,2,25,1,6,5,3.5469969094705087,"[4.08584606e-12 7.83751086e-11 1.03472310e-10 ... 9.20261971e-21
 9.20261971e-21 9.20261971e-21]",15.228401722691725,0.00023035241177417053,,
5,blended_known,S_5,10,5,3,2.747602015891198,5,"[5.69768662e-13 1.24481885e-11 2.10230061e-11 ... 7.26395247e-12
 1.00239510e-12 3.24721701e-13]",1000,2,2,25,1,7,5,3.451996545968327,"[5.73025532e-22 5.73025532e-22 5.73025532e-22 ... 5.73025532e-22
 5.73025532e-22 5.73025532e-22]",19.349273939446828,0.00024874107125070393,,
6,blended_known,S_5,10,5,3,2.747602015891198,5,"[5.69768662e-13 1.24481885e-11 2.10230061e-11 ... 7.26395247e-12
 1.00239510e-12 3.24721701e-13]",1000,2,2,25,1,8,5,4.039756446258126,"[9.73217897e-30 9.73217897e-30 9.73217897e-30 ... 3.17531285e-10
 5.51047411e-11 1.88824582e-11]",28.635540933324876,0.0003207824560456019,,
7,blended_known,S_5,10,5,3,2.747602015891198,5,"[5.69768662e-13 1.24481885e-11 2.10230061e-11 ... 7.26395247e-12
 1.00239510e-12 3.24721701e-13]",1000,2,2,25,1,9,5,5.60880542937016,"[7.63662872e-36 7.63662872e-36 7.63662872e-36 ... 1.38772778e-11
 1.53269159e-12 4.79310475e-13]",17.1113326740692,0.0007645354999230773,,
8,blended_known,S_5,10,5,3,2.747602015891198,5,"[5.69768662e-13 1.24481885e-11 2.10230061e-11 ... 7.26395247e-12
 1.00239510e-12 3.24721701e-13]",1000,2,2,25,1,10,5,3.9451272899572993,"[1.69405030e-22 1.69405030e-22 1.69405030e-22 ... 1.53266332e-10
 5.39167866e-11 1.94574921e-11]",20.031996085557626,0.00043893080304418375,,
9,blended_known,S_5,10,5,3,2.747602015891198,5,"[5.69768662e-13 1.24481885e-11 2.10230061e-11 ... 7.26395247e-12
 1.00239510e-12 3.24721701e-13]",1000,2,2,25,1,11,5,3.9481976791498714,"[1.60753584e-22 1.60753584e-22 1.60753584e-22 ... 1.48684572e-10
 5.24964219e-11 1.89527023e-11]",20.126772887753575,0.00044397931460681965,,
10,blended_known,S_5,10,5,3,2.747602015891198,5,"[5.69768662e-13 1.24481885e-11 2.10230061e-11 ... 7.26395247e-12
 1.00239510e-12 3.24721701e-13]",1000,2,2,25,1,12,5,3.797686188023045,"[1.22973294e-11 2.60723293e-10 3.48779608e-10 ... 3.33915819e-10
 5.55243326e-11 1.82886918e-11]",18.97562050568779,0.00018343284381003438,,
11,blended_known,S_5,10,5,3,2.747602015891198,5,"[5.69768662e-13 1.24481885e-11 2.10230061e-11 ... 7.26395247e-12
 1.00239510e-12 3.24721701e-13]",1000,2,2,25,1,13,5,3.8958251409469833,"[4.18062311e-22 4.18062311e-22 2.00790579e-11 ... 4.18062311e-22
 7.97119973e-13 3.13852113e-13]",19.232842689121565,0.00018837874659012683,,
12,blended_known,S_5,10,5,3,2.747602015891198,5,"[5.69768662e-13 1.24481885e-11 2.10230061e-11 ... 7.26395247e-12
 1.00239510e-12 3.24721701e-13]",1000,2,2,25,1,14,5,4.645415602265219,"[3.48908546e-11 7.39208082e-10 1.02999936e-09 ... 6.89536746e-23
 6.89536746e-23 6.89536746e-23]",22.526803831149103,0.00029223777433311975,,
13,blended_gmm,S_5,10,5,3,2.747602015891198,5,"[5.69768662e-13 1.24481885e-11 2.10230061e-11 ... 7.26395247e-12
 1.00239510e-12 3.24721701e-13]",1000,2,2,25,1,2,5,2.7948572407816425,"[1.41094074e-12 3.26784022e-11 5.06554327e-11 ... 1.11311454e-11
 1.75392837e-12 4.72978049e-13]",0.11303969848438143,1.2580901704177486e-05,1.8758922776999583,0.0007862562545666307
14,blended_gmm,S_5,10,5,3,2.747602015891198,5,"[5.69768662e-13 1.24481885e-11 2.10230061e-11 ... 7.26395247e-12
 1.00239510e-12 3.24721701e-13]",1000,2,2,25,1,3,5,2.8022453889909475,"[3.27131331e-13 7.59583782e-12 1.27776771e-11 ... 2.86778685e-11
 6.68883278e-12 1.83725882e-12]",0.14056136755013052,2.605017914765195e-05,1.8758922776999583,0.0007862562545666307
15,blended_gmm,S_5,10,5,3,2.747602015891198,5,"[5.69768662e-13 1.24481885e-11 2.10230061e-11 ... 7.26395247e-12
 1.00239510e-12 3.24721701e-13]",1000,2,2,25,1,4,5,4.282226623444463,"[1.65655291e-13 3.97817122e-12 1.35162535e-11 ... 5.12789059e-10
 1.38596562e-10 3.79958795e-11]",9.938266090582708,0.0007096249191255935,1.8758922776999583,0.0007862562545666307
