,case,name,d0,n0,repetition,nll_source,steps_fsp,fsp_source,seqlength,cwlen,iwlen,rankmax,ranknum,d1,n1,nll_learned,fsp_learned,kl_divergence,mse,nll_gmm,l2_gmm
0,blended_known,S_3,10,3,2,2.674238087859905,5,"[1.46009827e-12 3.88688006e-11 7.53275817e-11 ... 4.98310885e-10
 2.82464078e-10 8.13160195e-11]",1000,3,3,27,1,2,3,2.708642773668484,"[1.40529812e-12 3.74099714e-11 7.24915229e-11 ... 2.55094125e-10
 1.44590679e-10 4.16248980e-11]",0.07845697656744173,3.8474967661246905e-05,,
1,blended_known,S_3,10,3,2,2.674238087859905,5,"[1.46009827e-12 3.88688006e-11 7.53275817e-11 ... 4.98310885e-10
 2.82464078e-10 8.13160195e-11]",1000,3,3,27,1,3,3,3.0978502364141898,"[2.58163583e-12 6.87248563e-11 1.33137024e-10 ... 7.39021479e-10
 4.19027091e-10 1.20629910e-10]",0.9953474679139609,4.235019106100678e-05,,
2,blended_known,S_3,10,3,2,2.674238087859905,5,"[1.46009827e-12 3.88688006e-11 7.53275817e-11 ... 4.98310885e-10
 2.82464078e-10 8.13160195e-11]",1000,3,3,27,1,4,3,3.4366960123086594,"[2.96066961e-12 7.88149787e-11 1.52671168e-10 ... 7.61706546e-10
 4.31916414e-10 1.24340502e-10]",2.445953179347069,6.006890297631071e-05,,
3,blended_known,S_3,10,3,2,2.674238087859905,5,"[1.46009827e-12 3.88688006e-11 7.53275817e-11 ... 4.98310885e-10
 2.82464078e-10 8.13160195e-11]",1000,3,3,27,1,5,3,5.407646746479822,"[2.44794559e-22 2.44794559e-22 2.44794559e-22 ... 2.44794559e-22
 2.44794559e-22 2.44794559e-22]",20.86332483382843,0.0007262291804936672,,
4,blended_known,S_3,10,3,2,2.674238087859905,5,"[1.46009827e-12 3.88688006e-11 7.53275817e-11 ... 4.98310885e-10
 2.82464078e-10 8.13160195e-11]",1000,3,3,27,1,6,3,4.40509110416388,"[7.88472045e-21 7.88472045e-21 7.88472045e-21 ... 3.41806512e-09
 1.93765423e-09 5.57813696e-10]",7.841679288691031,0.00017766472455493464,,
5,blended_known,S_3,10,3,2,2.674238087859905,5,"[1.46009827e-12 3.88688006e-11 7.53275817e-11 ... 4.98310885e-10
 2.82464078e-10 8.13160195e-11]",1000,3,3,27,1,7,3,5.386980566706655,"[2.27650955e-12 6.06020920e-11 1.17238903e-10 ... 2.21934608e-10
 1.25786459e-10 3.62115214e-11]",16.017173785198395,0.0006657544870903477,,
6,blended_known,S_3,10,3,2,2.674238087859905,5,"[1.46009827e-12 3.88688006e-11 7.53275817e-11 ... 4.98310885e-10
 2.82464078e-10 8.13160195e-11]",1000,3,3,27,1,8,3,4.739696565106417,"[5.47246274e-12 1.45680319e-10 2.81913227e-10 ... 1.10048229e-09
 6.23776400e-10 1.79573325e-10]",13.18599194546642,0.0002572240764106851,,
7,blended_known,S_3,10,3,2,2.674238087859905,5,"[1.46009827e-12 3.88688006e-11 7.53275817e-11 ... 4.98310885e-10
 2.82464078e-10 8.13160195e-11]",1000,3,3,27,1,9,3,5.216274178175492,"[1.05259517e-22 1.05259517e-22 1.05259517e-22 ... 1.63242770e-08
 9.25427413e-09 2.66412902e-09]",19.772844226395467,0.0002296139409083278,,
8,blended_known,S_3,10,3,2,2.674238087859905,5,"[1.46009827e-12 3.88688006e-11 7.53275817e-11 ... 4.98310885e-10
 2.82464078e-10 8.13160195e-11]",1000,3,3,27,1,10,3,5.820948230894339,"[5.73858611e-12 1.52764798e-10 2.95561882e-10 ... 2.78108689e-09
 1.57677820e-09 4.53924378e-10]",22.397246301522795,0.0006463470109632316,,
9,blended_known,S_3,10,3,2,2.674238087859905,5,"[1.46009827e-12 3.88688006e-11 7.53275817e-11 ... 4.98310885e-10
 2.82464078e-10 8.13160195e-11]",1000,3,3,27,1,11,3,5.012893531305812,"[5.22941366e-21 5.22941366e-21 5.22941366e-21 ... 5.22941366e-21
 5.22941366e-21 5.22941366e-21]",13.416420934245977,0.00024159009094658137,,
10,blended_known,S_3,10,3,2,2.674238087859905,5,"[1.46009827e-12 3.88688006e-11 7.53275817e-11 ... 4.98310885e-10
 2.82464078e-10 8.13160195e-11]",1000,3,3,27,1,12,3,4.906060036256808,"[3.86559967e-12 1.02904796e-10 1.99325580e-10 ... 1.03789182e-09
 5.88512500e-10 1.69421529e-10]",7.5612914990872575,0.00015713367528479518,,
11,blended_known,S_3,10,3,2,2.674238087859905,5,"[1.46009827e-12 3.88688006e-11 7.53275817e-11 ... 4.98310885e-10
 2.82464078e-10 8.13160195e-11]",1000,3,3,27,1,13,3,4.997643293216849,"[1.17060436e-12 3.11621981e-11 6.04033603e-11 ... 4.79541345e-09
 2.71841970e-09 7.82581180e-10]",10.104569194795994,0.00022507219438843104,,
12,blended_known,S_3,10,3,2,2.674238087859905,5,"[1.46009827e-12 3.88688006e-11 7.53275817e-11 ... 4.98310885e-10
 2.82464078e-10 8.13160195e-11]",1000,3,3,27,1,14,3,4.917405130119178,"[7.46053656e-22 7.46053656e-22 7.46053656e-22 ... 2.85883665e-10
 1.62324687e-10 4.67301906e-11]",18.584227100140442,0.0004277682340908931,,
13,blended_gmm,S_3,10,3,2,2.674238087859905,5,"[1.46009827e-12 3.88688006e-11 7.53275817e-11 ... 4.98310885e-10
 2.82464078e-10 8.13160195e-11]",1000,2,2,16,2,2,4,3.4841573197924425,"[3.34721053e-14 2.68686227e-12 7.57046672e-12 ... 4.29349992e-13
 1.45437907e-13 4.01304695e-14]",2.47573090603798,0.005339192020398909,1.7749491716734835,0.027910070613867244
14,blended_gmm,S_3,10,3,2,2.674238087859905,5,"[1.46009827e-12 3.88688006e-11 7.53275817e-11 ... 4.98310885e-10
 2.82464078e-10 8.13160195e-11]",1000,2,2,16,2,3,4,3.4783242215262757,"[3.41993328e-14 2.73079653e-12 7.75015682e-12 ... 4.40635135e-13
 1.49260633e-13 4.11852689e-14]",2.4559696713967223,0.00503154754261542,1.7749491716734835,0.027910070613867244
15,blended_gmm,S_3,10,3,2,2.674238087859905,5,"[1.46009827e-12 3.88688006e-11 7.53275817e-11 ... 4.98310885e-10
 2.82464078e-10 8.13160195e-11]",1000,2,2,16,2,4,4,3.609143081750312,"[2.77344605e-14 2.34027886e-12 7.13371016e-12 ... 3.38657083e-13
 1.14716614e-13 3.16535880e-14]",2.979457474865764,0.0075795723362684884,1.7749491716734835,0.027910070613867244
16,blended_gmm,S_3,10,3,2,2.674238087859905,5,"[1.46009827e-12 3.88688006e-11 7.53275817e-11 ... 4.98310885e-10
 2.82464078e-10 8.13160195e-11]",1000,2,2,16,2,5,4,3.6319579193444116,"[3.01696636e-14 2.48773270e-12 7.92498286e-12 ... 3.81383011e-13
 1.29189584e-13 3.56470934e-14]",3.1688203692976082,0.008318549436782532,1.7749491716734835,0.027910070613867244
17,blended_gmm,S_3,10,3,2,2.674238087859905,5,"[1.46009827e-12 3.88688006e-11 7.53275817e-11 ... 4.98310885e-10
 2.82464078e-10 8.13160195e-11]",1000,2,2,16,2,6,4,4.908637166805807,"[2.07461854e-14 1.79931842e-12 5.74702011e-12 ... 2.33965183e-13
 7.92533065e-14 2.18682493e-14]",6.002035919981556,0.009791548520627498,1.7749491716734835,0.027910070613867244
18,blended_gmm,S_3,10,3,2,2.674238087859905,5,"[1.46009827e-12 3.88688006e-11 7.53275817e-11 ... 4.98310885e-10
 2.82464078e-10 8.13160195e-11]",1000,2,2,16,2,7,4,3.971026791137573,"[2.36397609e-14 2.01785332e-12 5.67774552e-12 ... 2.80659280e-13
 9.50704529e-14 2.62326514e-14]",4.587983351044183,0.011377678438504672,1.7749491716734835,0.027910070613867244
19,blended_gmm,S_3,10,3,2,2.674238087859905,5,"[1.46009827e-12 3.88688006e-11 7.53275817e-11 ... 4.98310885e-10
 2.82464078e-10 8.13160195e-11]",1000,2,2,16,2,8,4,8.045032361674208,"[4.61985210e-14 8.59446574e-12 2.08833330e-22 ... 8.68316234e-14
 2.94133220e-14 8.11597503e-15]",18.33584416088643,0.006114499139907934,1.7749491716734835,0.027910070613867244
20,blended_gmm,S_3,10,3,2,2.674238087859905,5,"[1.46009827e-12 3.88688006e-11 7.53275817e-11 ... 4.98310885e-10
 2.82464078e-10 8.13160195e-11]",1000,2,2,16,2,9,4,7.069545008227825,"[1.91001478e-14 1.28974622e-12 3.72618693e-12 ... 2.29891189e-13
 7.78732827e-14 2.14874613e-14]",5.573413578323512,0.009158190326785533,1.7749491716734835,0.027910070613867244
21,blended_gmm,S_3,10,3,2,2.674238087859905,5,"[1.46009827e-12 3.88688006e-11 7.53275817e-11 ... 4.98310885e-10
 2.82464078e-10 8.13160195e-11]",1000,2,2,16,2,10,4,4.065432509096268,"[2.53064320e-14 1.94961053e-12 5.47475438e-12 ... 3.18642968e-13
 1.07937038e-13 2.97829094e-14]",3.5587393491892274,0.0063951491500493125,1.7749491716734835,0.027910070613867244
22,blended_gmm,S_3,10,3,2,2.674238087859905,5,"[1.46009827e-12 3.88688006e-11 7.53275817e-11 ... 4.98310885e-10
 2.82464078e-10 8.13160195e-11]",1000,2,2,16,2,11,4,4.501641495669706,"[2.48260922e-14 2.12227730e-12 5.68248911e-12 ... 2.87233026e-13
 9.72972419e-14 2.68470860e-14]",3.3626633153097805,0.007517806930321396,1.7749491716734835,0.027910070613867244
