,name,length,ci_length,target_dimension,nll_source,nll_learned
0,BINS_2_2_2G,1000,3,2,0.9595909098844901,2.0399822934457474
1,BINS_2_2_2G,1000,3,3,0.9595909098844901,3.1681751648493632
2,BINS_2_2_2G,1000,3,4,0.9595909098844901,3.9792792754860336
3,BINS_2_2_2G,10000,3,2,0.9595909098844901,1.4162462588196694
4,BINS_2_2_2G,10000,3,3,0.9595909098844901,-0.7335059807248235
5,BINS_2_2_2G,10000,3,4,0.9595909098844901,0.2207827362064584
6,BINS_2_2_2G,100000,3,2,0.9595909098844901,1.7777067510997588
7,BINS_2_2_2G,100000,3,3,0.9595909098844901,3.6925394448268185
8,BINS_2_2_2G,100000,3,4,0.9595909098844901,3.1621177010861126
9,BINL_2_10_2G,1000,3,2,0.9994813184231551,1.7539460321724825
10,BINL_2_10_2G,1000,3,3,0.9994813184231551,1.2915908577206987
11,BINL_2_10_2G,1000,3,4,0.9994813184231551,1.8517462003889216
12,BINL_2_10_2G,1000,3,5,0.9994813184231551,4.9862830114436765
13,BINL_2_10_2G,1000,3,6,0.9994813184231551,4.04817489653079
14,BINL_2_10_2G,1000,3,7,0.9994813184231551,4.596367122337815
15,BINL_2_10_2G,1000,3,8,0.9994813184231551,3.902735650318799
16,BINL_2_10_2G,1000,3,9,0.9994813184231551,3.9035814758221683
17,BINL_2_10_2G,1000,3,10,0.9994813184231551,3.9093603137619874
18,BINL_2_10_2G,1000,3,11,0.9994813184231551,3.9011178174904337
19,BINL_2_10_2G,1000,3,12,0.9994813184231551,3.8995489155623884
20,BINL_2_10_2G,1000,3,13,0.9994813184231551,3.9089130869821114
21,BINL_2_10_2G,1000,3,14,0.9994813184231551,3.9073713586254604
22,BINL_2_10_2G,1000,3,15,0.9994813184231551,3.9107327521984554
23,BINL_2_10_2G,1000,3,16,0.9994813184231551,3.8998717139829506
24,BINL_2_10_2G,1000,3,17,0.9994813184231551,3.895645127336614
25,BINL_2_10_2G,1000,3,18,0.9994813184231551,3.901164288126308
26,BINL_2_10_2G,1000,3,19,0.9994813184231551,3.9045440172589747
27,BINL_2_10_2G,1000,3,20,0.9994813184231551,3.900658382151399
28,BINL_2_10_2G,10000,3,2,0.9994813184231551,2.4165970445572116
29,BINL_2_10_2G,10000,3,3,0.9994813184231551,3.046514039344882
30,BINL_2_10_2G,10000,3,4,0.9994813184231551,3.5363633107899797
31,BINL_2_10_2G,10000,3,5,0.9994813184231551,3.536647338322576
32,BINL_2_10_2G,10000,3,6,0.9994813184231551,4.159515058579091
33,BINL_2_10_2G,10000,3,7,0.9994813184231551,2.3949299869047214
