,name,length,ci_length,target_dimension,nll_source,nll_learned
0,BINS_2_2,1000,8,2,0.8317295990719814,2.8002882752692724
1,BINS_2_2,1000,8,3,0.8317295990719814,2.8606415612260783
2,BINS_2_2,1000,8,4,0.8317295990719814,3.5035489813441956
3,BINS_2_2,10000,8,2,0.8317295990719814,4.066499220080256
4,BINS_2_2,10000,8,3,0.8317295990719814,5.308349218398744
5,BINS_2_2,10000,8,4,0.8317295990719814,4.641498348795892
6,BINS_2_2,100000,8,2,0.8317295990719814,1.617417307956024
7,BINS_2_2,100000,8,3,0.8317295990719814,1.5203133377643059
8,BINS_2_2,100000,8,4,0.8317295990719814,1.4679345063568456
9,BINL_2_10,1000,8,2,0.9921525462695455,1.9607208483422334
10,BINL_2_10,1000,8,3,0.9921525462695455,1.9166901515700474
11,BINL_2_10,1000,8,4,0.9921525462695455,1.9002342861635366
12,BINL_2_10,1000,8,5,0.9921525462695455,1.899740403794215
13,BINL_2_10,1000,8,6,0.9921525462695455,2.81277384804514
14,BINL_2_10,1000,8,7,0.9921525462695455,3.2178612567213114
15,BINL_2_10,1000,8,8,0.9921525462695455,4.503354658330338
16,BINL_2_10,1000,8,9,0.9921525462695455,3.5816264340364077
17,BINL_2_10,1000,8,10,0.9921525462695455,3.4947787401878005
18,BINL_2_10,1000,8,11,0.9921525462695455,2.3728218248421706
19,BINL_2_10,1000,8,12,0.9921525462695455,0.9709222834045864
20,BINL_2_10,1000,8,13,0.9921525462695455,1.7746989926275476
21,BINL_2_10,1000,8,14,0.9921525462695455,1.1042790122070467
22,BINL_2_10,1000,8,15,0.9921525462695455,0.7013323183218066
23,BINL_2_10,1000,8,16,0.9921525462695455,3.0488868312406896
24,BINL_2_10,1000,8,17,0.9921525462695455,4.490946619222674
25,BINL_2_10,1000,8,18,0.9921525462695455,2.503394975529393
26,BINL_2_10,1000,8,19,0.9921525462695455,2.5278774355274654
27,BINL_2_10,1000,8,20,0.9921525462695455,2.573222870726273
28,BINL_2_10,10000,8,2,0.9921525462695455,1.292417598855533
29,BINL_2_10,10000,8,3,0.9921525462695455,1.2832610562855677
30,BINL_2_10,10000,8,4,0.9921525462695455,1.2843467786313105
31,BINL_2_10,10000,8,5,0.9921525462695455,1.4144468784849489
32,BINL_2_10,10000,8,6,0.9921525462695455,1.4030853497483586
33,BINL_2_10,10000,8,7,0.9921525462695455,1.404055304969959
34,BINL_2_10,10000,8,8,0.9921525462695455,1.4825308080944497
35,BINL_2_10,10000,8,9,0.9921525462695455,1.9921850405982668
36,BINL_2_10,10000,8,10,0.9921525462695455,3.661436451138702
37,BINL_2_10,10000,8,11,0.9921525462695455,5.61491304870404
38,BINL_2_10,10000,8,12,0.9921525462695455,5.837788731616276
39,BINL_2_10,10000,8,13,0.9921525462695455,4.8182654976330275
40,BINL_2_10,10000,8,14,0.9921525462695455,5.92926670390823
41,BINL_2_10,10000,8,15,0.9921525462695455,6.188825251682711
42,BINL_2_10,10000,8,16,0.9921525462695455,3.922862330597035
43,BINL_2_10,10000,8,17,0.9921525462695455,3.67006357233552
44,BINL_2_10,10000,8,18,0.9921525462695455,3.6433456490719607
45,BINL_2_10,10000,8,19,0.9921525462695455,3.923923181337815
46,BINL_2_10,10000,8,20,0.9921525462695455,5.255982239501821
47,BINL_2_10,100000,8,2,0.9921525462695455,0.9394593562667208
48,BINL_2_10,100000,8,3,0.9921525462695455,0.9426405602494837
49,BINL_2_10,100000,8,4,0.9921525462695455,0.9548705688082385
50,BINL_2_10,100000,8,5,0.9921525462695455,2.0701678907480936
51,BINL_2_10,100000,8,6,0.9921525462695455,2.325060932715196
52,BINL_2_10,100000,8,7,0.9921525462695455,1.2192900537528792
53,BINL_2_10,100000,8,8,0.9921525462695455,1.3203663186292336
54,BINL_2_10,100000,8,9,0.9921525462695455,1.451847646939716
