CVSEED,geo_mean_var,H_f,H_uniform,_uniform_perc,_norm_geo_mean_var,_norm_uniform_perc,_norm_weighted_sum
85,0.006567309378003763,2.6680117159630004,1.584962500721156,1.6833279744782972,1.0,0.3512641526631112,0.6756320763315555
173,0.002877570175179418,1.8206236622224523,1.584962500721156,1.1486856385523763,0.4334590973343033,0.8520183126218702,0.6427387049780868
110,0.005100988436480647,2.428160631461858,1.584962500721156,1.5319987888401447,0.7748537920587368,0.4930013742399223,0.6339275831493296
36,0.005790588169423404,2.6249737466646685,1.584962500721156,1.6561740391146849,0.8807383637597282,0.3766969423598556,0.628717653059792
133,0.005100681673950628,2.45985504359545,1.584962500721156,1.5519957364771841,0.7748066902146478,0.4742719283228065,0.6245393092687271
24,0.0025598204796771946,1.8619202246458537,1.584962500721156,1.1747408685055212,0.3846702292284537,0.8276145871572127,0.6061424081928332
128,0.004409120159550835,2.3860180185142963,1.584962500721156,1.5054097604382821,0.6686208968347228,0.5179050634669182,0.5932629801508205
54,0.0011306134117285136,1.5702055447435619,1.584962500721156,0.9906893974015917,0.1652226699668007,1.0,0.5826113349834003
93,0.004090143682793794,2.4252629578204896,1.584962500721156,1.5301705603236655,0.6196436626354251,0.4947137209312794,0.5571786917833523
102,0.004846796326496092,2.6256961846125604,1.584962500721156,1.656629846711119,0.7358238716429758,0.3762700260183731,0.5560469488306745
77,0.004217056763301097,2.4706465402626687,1.584962500721156,1.5588044128100995,0.6391305280311296,0.4678948183028613,0.5535126731669955
65,0.005288066902283336,2.760620437728453,1.584962500721156,1.7417575724803418,0.8035787498563068,0.2965381006875043,0.5500584252719056
188,0.004736513197024449,2.671130116527096,1.584962500721156,1.6852954661777393,0.7188904516137671,0.3494213699521729,0.53415591078297
20,0.0021024175267266546,1.9900332623975407,1.584962500721156,1.2555711958434839,0.3144383056149378,0.7519076706908719,0.5331729881529048
37,0.005197348031455701,2.8055064406119885,1.584962500721156,1.7700774872184588,0.7896493233732211,0.2700132369386776,0.5298312801559494
74,0.002065001751891652,2.02572597220083,1.584962500721156,1.2780907884439707,0.3086933015147204,0.7308154770550264,0.5197543892848734
96,0.0015406889930354238,1.915768251614604,1.584962500721156,1.208715190891224,0.22818771362542625,0.7957937190305668,0.5119907163279965
137,0.003381239932687887,2.4086456827718696,1.584962500721156,1.5196862270722107,0.5107950561592081,0.5045335072393868,0.5076642816992974
134,0.004267871954724433,2.664862471932007,1.584962500721156,1.6813410227178862,0.6469329451765121,0.3531251619637309,0.5000290535701215
125,0.004640037347084281,2.762963529971061,1.584962500721156,1.7432358990915657,0.7040770699339168,0.29515347745323295,0.4996152736935749
185,0.0009961924380045342,1.8361722440773396,1.584962500721156,1.158495701470466,0.14458300531719848,0.8428300581841011,0.49370653175064977
66,0.005311836054138137,2.9592647856714227,1.584962500721156,1.8670882019763626,0.8072283836128361,0.17915152302022752,0.4931899533165318
191,0.005477974716921056,3.020832837404737,1.584962500721156,1.9059333176843374,0.832738139941592,0.14276859563539934,0.48775336778849565
184,0.0043449462090042485,2.7399715251994605,1.584962500721156,1.728729559186906,0.6587673093935137,0.30874033648947763,0.48375382294149566
30,0.003132568540274013,2.4324399512746764,1.584962500721156,1.5346987390350997,0.47261281416837797,0.4904725597391707,0.48154268695377433
71,0.0038016284564802673,2.6139118368281364,1.584962500721156,1.6491947510674918,0.5753436002832285,0.3832338499115737,0.4792887250974011
108,0.004433979816761219,2.7789045259203733,1.584962500721156,1.753293547737549,0.6724379722055647,0.28573333044942817,0.4790856513274964
147,0.002587235881512481,2.3003178671431805,1.584962500721156,1.4513389850526677,0.38887972633622125,0.5685485757500415,0.47871415104313136
159,0.004104777050387228,2.7081319393851215,1.584962500721156,1.708641017155248,0.6218905426531448,0.32755557111252287,0.47472305688283384
57,0.0025526365101382936,2.305272328860261,1.584962500721156,1.4544649023629042,0.3835671668265971,0.565620793957234,0.4745939803919155
181,0.0025400784903278216,2.3084797146044513,1.584962500721156,1.4564885374600949,0.3816389460261479,0.5637254264843199,0.4726821862552339
33,0.003332260731162528,2.5247609937083673,1.584962500721156,1.5929468315872484,0.5032745460313429,0.435916508534141,0.46959552728274195
177,0.001660954385108078,2.0989264606157354,1.584962500721156,1.3242751545608973,0.24665385988642236,0.6875584958845083,0.4671061778854654
194,0.0038390352989997045,2.6774333305399503,1.584962500721156,1.6892723514415775,0.5810872328713023,0.3456965586049817,0.463391895738142
